"hello","హలో"
"hi","హాయ్"
"hey","హే"
"goodbye","వీడ్కోలు"
"bye","బై"
"welcome","స్వాగతం"
"morning","ఉదయం"
"afternoon","మధ్యాహ్నం"
"evening","సాయంత్రం"
"night","రాత్రి"
"good morning","శుభోదయం"
"good afternoon","శుభ మధ్యాహ్నం"
"good evening","శుభ సాయంత్రం"
"good night","గుడ్ నైట్"
"see you later.","తరువాత కలుద్దాం."
"take care.","జాగ్రత్త వహించండి."
"what","ఏమి"
"when","ఎప్పుడు"
"where","ఎక్కడ"
"who","WHO"
"why","ఎందుకు"
"how","ఎలా"
"are you?","మీరు?"
"what is your name?","మీ పేరు ఏమిటి?"
"what are you doing?","మీరు ఏమి చేస్తున్నారు?"
"what time is it?","ఇది ఏ సమయం?"
"where are you from?","మీరు ఎక్కడ నుండి వచ్చారు?"
"how was your day?","మీ రోజు ఎలా ఉంది?"
"what's up?","ఏమిటి?"
"what do you mean?","మీ ఉద్దేశ్యం ఏమిటి?"
"are you sure?","మీకు ఖచ్చితంగా తెలుసా?"
"what do you think?","మీరు ఏమనుకుంటున్నారు?"
"can we talk?","మనం మాట్లాడగలమా?"
"what happened?","ఏమి జరిగింది?"
"are you okay?","మీరు బాగున్నారా?"
"yes","అవును"
"no","లేదు"
"ok","సరే"
"okay","సరే"
"cool","కూల్"
"great","గొప్పది"
"good","మంచిది"
"bad","చెడ్డది"
"maybe","బహుశా"
"sure","ఖచ్చితంగా"
"never","ఎప్పుడూ"
"always","ఎల్లప్పుడూ"
"of course.","కోర్సు యొక్క."
"i agree.","నేను అంగీకరిస్తున్నాను."
"i disagree.","నేను అంగీకరించలేదు."
"no problem.","సమస్య లేదు."
"sounds good.","బాగుంది."
"that's a good idea.","అది మంచి ఆలోచన."
"i","i"
"you","మీరు"
"he","అతను"
"she","ఆమె"
"we","మేము"
"they","వారు"
"me","నేను"
"him","ఆయన"
"her","ఆమె"
"us","మాకు"
"them","వాటిని"
"my","నా"
"your","మీ"
"his","అతని"
"our","మా"
"their","వారి"
"friend","స్నేహితుడు"
"friends","స్నేహితులు"
"family","కుటుంబం"
"mother","తల్లి"
"father","తండ్రి"
"sister","సోదరి"
"brother","సోదరుడు"
"love","ప్రేమ"
"baby","బేబీ"
"sir","సర్"
"madam","మేడమ్"
"home","హోమ్"
"work","పని"
"school","పాఠశాల"
"college","కళాశాల"
"office","కార్యాలయం"
"here","ఇక్కడ"
"there","అక్కడ"
"place","స్థలం"
"city","నగరం"
"country","దేశం"
"world","ప్రపంచం"
"time","సమయం"
"today","ఈ రోజు"
"tomorrow","రేపు"
"yesterday","నిన్న"
"now","ఇప్పుడు"
"later","తరువాత"
"soon","త్వరలో"
"minute","నిమిషం"
"hour","గంట"
"day","రోజు"
"week","వారం"
"month","నెల"
"year","సంవత్సరం"
"message","సందేశం"
"text","వచనం"
"photo","ఫోటో"
"video","వీడియో"
"song","పాట"
"movie","సినిమా"
"game","ఆట"
"food","ఆహారం"
"water","నీరు"
"tea","టీ"
"coffee","కాఫీ"
"name","పేరు"
"number","సంఖ్య"
"money","డబ్బు"
"help","సహాయం"
"problem","సమస్య"
"idea","ఆలోచన"
"thing","విషయం"
"things","విషయాలు"
"life","జీవితం"
"job","ఉద్యోగం"
"car","కారు"
"bike","బైక్"
"bus","బస్సు"
"train","రైలు"
"go","వెళ్ళు"
"come","రండి"
"see","చూడండి"
"look","చూడండి"
"watch","చూడండి"
