"ఒంటె నోరులో జీలకర్ర","उंटाच्या तोंडात जीरं"
"ముక్కు మూర్చేంత ఇబ్బంది పెట్టడం","नाकी नऊ आणणे"
"మంటల నుంచి పొగలో పడటం","आगीतून फुफाट्यात पडणे"
"ఖాళీ పాత్ర ఎక్కువ శబ్దం చేస్తుంది","थोतांडाचा पाटा मोठा"
"ఇంట్లోని శత్రువు పెద్ద ప్రమాదం","घरचा वैरी संकट ओढतो"
"పాము చనిపోతుంది కానీ కర్ర విరగదు","सापही मरला तरी काठी तुटली नाही"
"పాలతో కాలినవాడు మజ్జిగ కూడా ఊది తాగుతాడు","दुधाने भाजलेला ताकही फुंकून पितो"
"కాలెత్తి పారిపోవడం","पळ काढणे"
"చేతులు కడుక్కోవడం (బాధ్యత తప్పించుకోవడం)","हात झटकणे"
"రోజులు లాగడం","दिवस ढकलणे"
"గాడిద ముందు వీణ వాయించడం","गाढवापुढं वीणा वाजवणे"
"కంటి రెప్ప పాడేలోపే","पलक झपकते ही"
"కుక్క తోక ఎప్పటికీ వంకరగానే ఉంటుంది","कुत्र्याची शेपटी वाकडीची वाकडीच"
"కాగితం పులి","कागदी वाघ"
"ప్రాణం పెట్టి కష్టపడటం","खून-पसीना एक करणे"
"కళ్లలోని తార","डोळ्यांचा तारा"
"దీపం కింద చీకటి","चिराग तळे अंधार"
"నోట్లో రామా, చేతిలో కత్తి","मुठीत राम, पोटात खांजीर"
"పెద్ద కష్టంలో చిన్నది కనిపించకపోవడం","मोठ्या संकटासमोर लहान पडणे"
"కాలు జారి పడటం","पाय घसरला"
"పాలు మీద క్రీమ్ తినడం","दुधावरची साय खाणे"
"తిన్న ప్లేట్ మీద గొడవ పెట్టడం","ताटातलं खाऊन भांडणं"
"నీటిలో ఉండి మొసలి భయపడటం","पाण्यात पोहत असतानाही भुंगे घाबरणे"
"పెరుగుతుంటే పెరుగుతుంది, జరుగుతుంటే జరుగుతుంది","वाढता वाढते आणि घडता घडे"
"కళ్లకు గంత కట్టుకోవడం","डोळ्यांवर पट्टी बसणे"
"జేబు ఖాళీ అవ్వడం","खिसा रिकामा होणे"
"అహా అని పొగడడం","धन्य-धन्य म्हणणे"
"దొంగ కాపలాదారిని దూషించడం","चोराच्या उलट्या बोंबा"
"ఒంటెకు శనగ గింజ","उंटाला शेंगाची गाठ"
