"హలో","வணக்கம்"
"హాయ్","ஹாய்"
"హే","ஏய்"
"వీడ్కోలు","குட்பை"
"బై","பை"
"స్వాగతం","வரவேற்கிறோம்"
"ఉదయం","காலை"
"మధ్యాహ్నం","பிற்பகல்"
"సాయంత్రం","மாலை"
"రాత్రి","இரவு"
"శుభోదయం","காலை வணக்கம்"
"శుభ మధ్యాహ్నం","நல்ல மதியம்"
"శుభ సాయంత్రం","நல்ல மாலை"
"గుడ్ నైట్","நல்ல இரவு"
"తరువాత కలుద్దాం.","பின்னர் சந்திப்போம்."
"జాగ్రత్త వహించండి.","கவனித்துக் கொள்ளுங்கள்."
"ఏమి","என்ன"
"ఎప్పుడు","எப்போது"
"ఎక్కడ","எங்கே"
"WHO","WHO"
"ఎందుకు","ஏன்"
"ఎలా","எப்படி"
"మీరు?","நீங்கள்?"
"మీ పేరు ఏమిటి?","உங்கள் பெயர் என்ன?"
"మీరు ఏమి చేస్తున్నారు?","நீங்கள் என்ன செய்கிறீர்கள்?"
"ఇది ఏ సమయం?","இது என்ன நேரம்?"
"మీరు ఎక్కడ నుండి వచ్చారు?","நீங்கள் எங்கிருந்து வருகிறீர்கள்?"
"మీ రోజు ఎలా ఉంది?","உங்கள் நாள் எப்படி இருந்தது?"
"ఏమిటి?","என்ன?"
"మీ ఉద్దేశ్యం ఏమిటి?","நீங்கள் என்ன சொல்கிறீர்கள்?"
"మీకు ఖచ్చితంగా తెలుసా?","நீங்கள் உறுதியாக இருக்கிறீர்களா?"
"మీరు ఏమనుకుంటున్నారు?","நீங்கள் என்ன நினைக்கிறீர்கள்?"
"మనం మాట్లాడగలమా?","நாம் பேச முடியுமா?"
"ఏమి జరిగింది?","என்ன நடந்தது?"
"మీరు బాగున్నారా?","நீங்கள் நலமாக இருக்கிறீர்களா?"
"అవును","ஆம்"
"లేదు","இல்லை"
"సరే","சரி"
"సరే","சரி"
"కూల్","குளிர்"
"గొప్పది","பெரிய"
"మంచిది","நல்லது"
"చెడ్డది","மோசமான"
"బహుశా","ஒருவேளை"
"ఖచ్చితంగా","நிச்சயமாக"
"ఎప్పుడూ","ஒருபோதும்"
"ఎల్లప్పుడూ","எப்போதும்"
"కోర్సు యొక్క.","நிச்சயமாக."
"నేను అంగీకరిస్తున్నాను.","நான் ஒப்புக்கொள்கிறேன்."
"నేను అంగీకరించలేదు.","நான் உடன்படவில்லை."
"సమస్య లేదు.","எந்த பிரச்சனையும் இல்லை."
"బాగుంది.","நன்றாக இருக்கிறது."
"అది మంచి ఆలోచన.","அது ஒரு நல்ல யோசனை."
"i","i"
"మీరు","நீங்கள்"
"అతను","அவர்"
"ఆమె","அவள்"
"మేము","நாங்கள்"
"వారు","அவர்கள்"
"నేను","நான்"
"ఆయన","அவர்"
"ఆమె","அவள்"
