hello,வணக்கம்
hi,ஹாய்
hey,ஏய்
goodbye,குட்பை
bye,பை
saw,பார்த்தேன்
i,நான்
welcome,வரவேற்கிறோம்
morning,காலை
afternoon,பிற்பகல்
evening,மாலை
night,இரவு
good morning,காலை வணக்கம்
good afternoon,நல்ல மதியம்
good evening,நல்ல மாலை
good night,நல்ல இரவு
see you later.,பின்னர் சந்திப்போம்.
take care.,கவனித்துக் கொள்ளுங்கள்.
what,என்ன
when,எப்போது
where,எங்கே
who,WHO
why,ஏன்
how,எப்படி
are you?,நீங்கள்?
what is your name?,உங்கள் பெயர் என்ன?
what are you doing?,நீங்கள் என்ன செய்கிறீர்கள்?
what time is it?,இது என்ன நேரம்?
where are you from?,நீங்கள் எங்கிருந்து வருகிறீர்கள்?
how was your day?,உங்கள் நாள் எப்படி இருந்தது?
what's up?,என்ன?
what do you mean?,நீங்கள் என்ன சொல்கிறீர்கள்?
are you sure?,நீங்கள் உறுதியாக இருக்கிறீர்களா?
what do you think?,நீங்கள் என்ன நினைக்கிறீர்கள்?
can we talk?,நாம் பேச முடியுமா?
what happened?,என்ன நடந்தது?
are you okay?,நீங்கள் நலமாக இருக்கிறீர்களா?
yes,ஆம்
no,இல்லை
ok,சரி
okay,சரி
cool,குளிர்
great,பெரிய
good,நல்லது
bad,மோசமான
maybe,ஒருவேளை
sure,நிச்சயமாக
never,ஒருபோதும்
always,எப்போதும்
of course.,நிச்சயமாக.
i agree.,நான் ஒப்புக்கொள்கிறேன்.
i disagree.,நான் உடன்படவில்லை.
no problem.,எந்த பிரச்சனையும் இல்லை.
sounds good.,நன்றாக இருக்கிறது.
that's a good idea.,அது ஒரு நல்ல யோசனை.
i,i
you,நீங்கள்
he,அவர்
she,அவள்
we,நாங்கள்
they,அவர்கள்
me,நான்
him,அவர்
her,அவள்
us,எங்களுக்கு
them,அவர்கள்
my,என்
your,உங்கள்
his,அவரது
our,எங்கள்
their,அவர்களின்
friend,நண்பர்
friends,நண்பர்கள்
family,குடும்பம்
mother,அம்மா
father,தந்தை
sister,சகோதரி
brother,சகோதரர்
love,காதல்
baby,குழந்தை
sir,ஐயா
madam,மேடம்
home,வீடு
work,வேலை
school,பள்ளி
college,கல்லூரி
office,அலுவலகம்
here,இங்கே
there,அங்கே
place,இடம்
city,நகரம்
country,நாடு
world,உலகம்
time,நேரம்
today,இன்று
tomorrow,நாளை
yesterday,நேற்று
now,இப்போது
later,பின்னர்
soon,விரைவில்
minute,நிமிடங்கள்
hour,மணி
day,நாள்
week,வாரம்
month,மாதம்
year,ஆண்டு
message,செய்தி
text,உரை
photo,புகைப்படம்
video,வீடியோ
song,பாடல்
movie,படம்
game,விளையாட்டு
food,உணவு
water,நீர்
tea,தேநீர்
coffee,காபி
name,பெயர்
number,எண்
money,பணம்
help,உதவி
problem,சிக்கல்
idea,யோசனை
thing,விஷயம்
things,விஷயங்கள்
life,வாழ்க்கை
job,வேலை
car,கார்
bike,பைக்
bus,பஸ்
train,ரயில்
go,போ
come,வாருங்கள்
see,பார்க்க
look,பார்
watch,வாட்ச்
listen,கேளுங்கள்
eat,சாப்பிடுங்கள்
drink,பானம்
sleep,தூங்கு
wait,காத்திருங்கள்
talk,பேச்சு
speak,பேசுங்கள்
say,சொல்லுங்கள்
tell,சொல்லுங்கள்
ask,கேளுங்கள்
answer,பதில்
know,தெரியும்
think,சிந்தியுங்கள்
understand,புரிந்து கொள்ளுங்கள்
mean,சராசரி
play,விளையாடுங்கள்
like,போன்ற
hate,வெறுப்பு
want,வேண்டும்
need,தேவை
give,கொடுங்கள்
take,எடுத்துக் கொள்ளுங்கள்
send,அனுப்பு
receive,பெறுங்கள்
call,அழைப்பு
meet,சந்திப்பு
start,தொடக்க
stop,நிறுத்து
finish,முடிக்க
try,முயற்சிக்கவும்
do,செய்
make,உருவாக்கு
happy,மகிழ்ச்சி
sad,சோகம்
angry,கோபம்
tired,சோர்வாக
hungry,பசி
busy,பிஸியாக
free,இலவசம்
new,புதியது
old,பழைய
big,பெரியது
small,சிறிய
long,நீண்ட
short,குறுகிய
hot,சூடாக
cold,குளிர்
nice,நல்லது
beautiful,அழகான
awesome,அருமை
amazing,ஆச்சரியம்
really,உண்மையில்
very,மிகவும்
so,எனவே
too,கூட
then,பின்னர்
sometimes,சில நேரங்களில்
often,பெரும்பாலும்
again,மீண்டும்
fast,வேகமாக
slow,மெதுவாக
early,ஆரம்பத்தில்
late,தாமதமாக
and,மற்றும்
but,ஆனால்
or,அல்லது
because,ஏனெனில்
if,என்றால்
for,க்கு
in,இல்
on,ஆன்
at,at
to,to
with,உடன்
from,இருந்து
about,பற்றி
of,of
"i am fine, thank you.","நான் நன்றாக இருக்கிறேன், நன்றி."
my name is...,என் பெயர் ...
nice to meet you.,உங்களை சந்தித்ததில் மகிழ்ச்சி.
i'm sorry.,மன்னிக்கவும்.
i am from...,நான் இருந்து ...
can you help me?,நீங்கள் எனக்கு உதவ முடியுமா?
i don't know.,எனக்குத் தெரியாது.
i don't understand.,எனக்கு புரியவில்லை.
let's go.,போகலாம்.
nothing much.,அதிகம் எதுவும் இல்லை.
it was good.,அது நன்றாக இருந்தது.
i am thirsty.,எனக்கு தாகம் இருக்கிறது.
where is the restroom?,ரெஸ்ட் ரூம் எங்குள்ளது?
i need to rest.,நான் ஓய்வெடுக்க வேண்டும்.
talk to you later.,உங்களுடன் பின்னர் பேசுங்கள்.
on my way.,என் வழியில்.
be right back.,வலதுபுறம் இருங்கள்.
that's funny.,அது வேடிக்கையானது.
that's great!,அது பெரியது!
oh my god!,கடவுளே!
congratulations!,வாழ்த்துக்கள்!
happy birthday!,பிறந்தநாள் வாழ்த்துக்கள்!
i miss you.,நான் உன்னை இழக்கிறேன்.
i love you.,நான் உன்னை நேசிக்கிறேன்.
call me.,என்னை அழைக்கவும்.
text me.,எனக்கு உரை அனுப்பவும்.
what are your plans for today?,இன்றைய உங்கள் திட்டங்கள் என்ன?
are you free tomorrow?,நாளை நீங்கள் இலவசமா?
i am looking forward to it.,நான் அதை எதிர்பார்க்கிறேன்.
it's urgent.,இது அவசரம்.
don't worry.,கவலைப்பட வேண்டாம்.
it's okay.,பரவாயில்லை.
that's amazing!,அது ஆச்சரியமாக இருக்கிறது!
i am so happy.,நான் மிகவும் மகிழ்ச்சியாக இருக்கிறேன்.
i am so sad.,நான் மிகவும் சோகமாக இருக்கிறேன்.
i am excited.,நான் உற்சாகமாக இருக்கிறேன்.
i am bored.,எனக்கு சலிப்பு.
i have to go.,நான் செல்ல வேண்டும்.
i will be there.,நான் அங்கே இருப்பேன்.
i need help.,எனக்கு உதவி தேவை.
wait a moment.,ஒரு கணம் காத்திருங்கள்.
i am just kidding.,நான் விளையாடுகிறேன்.
i am not sure.,எனக்கு நிச்சயமாகத் தெரியவில்லை.
i have no idea.,எனக்கு எதுவும் தெரியாது.
it's beautiful.,இது அழகாக இருக்கிறது.
it's delicious.,இது சுவையாக இருக்கிறது.
i am feeling sick.,எனக்கு உடம்பு சரியில்லை.
get well soon.,விரைவில் குணமடையுங்கள்.
where are we going?,நாங்கள் எங்கே போகிறோம்?
i'm lost.,நான் தொலைந்துவிட்டேன்.
can you repeat that?,அதை மீண்டும் செய்ய முடியுமா?
speak slowly.,மெதுவாக பேசுங்கள்.
what is this?,இது என்ன?
how much is this?,இது எவ்வளவு?
i'll take it.,நான் அதை எடுத்துக்கொள்வேன்.
do you have this in another color?,உங்களிடம் இது மற்றொரு நிறத்தில் இருக்கிறதா?
where can i find...?,நான் எங்கே காணலாம் ...?
i'm just looking.,நான் பார்க்கிறேன்.
have a great day!,ஒரு சிறந்த நாள்!
you too!,நீங்களும்!
good luck!,நல்ல அதிர்ஷ்டம்!
lol,lol
brb,Brb
omw,OMW
btw,btw
imo,IMO
ttyl,ttyl
idk,idk
asap,விரைவில்
fomo,ஃபோமோ
goat,ஆடு
lit,லைட்
flex,நெகிழ்வு
salty,உப்பு
cap,தொப்பி
congrats,வாழ்த்துக்கள்
thanks,நன்றி
sup,சுப்
yo,யோ
dude,கனா
bro,சகோ
sis,சிஸ்
man,மனிதன்
woman,பெண்
girl,பெண்
boy,பையன்
person,நபர்
people,மக்கள்
moment,கணம்
way,வழி
part,பகுதி
group,குழு
company,நிறுவனம்
question,கேள்வி
fact,உண்மை
story,கதை
book,புத்தகம்
music,இசை
art,கலை
image,படம்
picture,படம்
color,நிறம்
air,காற்று
fire,தீ
earth,பூமி
sun,சூரியன்
moon,சந்திரன்
star,நட்சத்திரம்
sky,வானம்
sea,கடல்
river,நதி
mountain,மலை
tree,மரம்
flower,மலர்
animal,விலங்கு
dog,நாய்
cat,பூனை
bird,பறவை
fish,மீன்
house,வீடு
room,அறை
door,கதவு
window,சாளரம்
street,தெரு
road,சாலை
town,நகரம்
village,கிராமம்
university,பல்கலைக்கழகம்
career,தொழில்
price,விலை
cost,செலவு
change,மாற்றம்
news,செய்தி
information,தகவல்
data,தரவு
system,அமைப்பு
program,திட்டம்
project,திட்டம்
team,அணி
member,உறுப்பினர்
leader,தலைவர்
boss,பாஸ்
student,மாணவர்
teacher,ஆசிரியர்
doctor,மருத்துவர்
lawyer,வழக்கறிஞர்
engineer,பொறியாளர்
artist,கலைஞர்
writer,எழுத்தாளர்
player,வீரர்
fan,விசிறி
enemy,எதிரி
peace,அமைதி
war,போர்
hope,நம்பிக்கை
fear,பயம்
dream,கனவு
reality,உண்மை
truth,உண்மை
lie,பொய்
history,வரலாறு
future,எதிர்காலம்
past,கடந்த
present,தற்போது
How,எப்படி
just,மட்டும்
kidding,சும்மா சொன்னேன்
Prem,ப்ரேம்
am,இருக்கிறேன்
prem,ப்ரேம்
are,இருக்கிறார்கள்
ll,ll
athleisure,விளையாட்டு அன்றாட உடை"Hiii","வணக்கம்"
"Hiii","ஹாய்"
"looking","பார்க்கும்"
"gorgeous","அழகு"
"even","சமம்"
"didn't",""
"Saw","ரம்பம்"
"voice","குரல்"
"1757953136266","1757953136266"
"m4a","எம்4ஏ"
