"హలో","हॅलो"
"హాయ్","हाय"
"హే","अहो"
"వీడ్కోలు","निरोप"
"బై","बाय"
"స్వాగతం","आपले स्वागत आहे"
"ఉదయం","सकाळी"
"మధ్యాహ్నం","दुपारी"
"సాయంత్రం","संध्याकाळ"
"రాత్రి","रात्री"
"శుభోదయం","सुप्रभात"
"శుభ మధ్యాహ్నం","शुभ दुपार"
"శుభ సాయంత్రం","शुभ संध्याकाळ"
"గుడ్ నైట్","शुभ रात्री"
"తరువాత కలుద్దాం.","नंतर भेटू."
"జాగ్రత్త వహించండి.","काळजी घ्या."
"ఏమి","काय"
"ఎప్పుడు","जेव्हा"
"ఎక్కడ","कुठे"
"WHO","WHO"
"ఎందుకు","का"
"ఎలా","कसे"
"మీరు?","आपण आहात?"
"మీ పేరు ఏమిటి?","तुझे नाव काय आहे?"
"మీరు ఏమి చేస్తున్నారు?","आपण काय करीत आहात?"
"ఇది ఏ సమయం?","किती वेळ आहे?"
"మీరు ఎక్కడ నుండి వచ్చారు?","तू कोठून आहेस?"
"మీ రోజు ఎలా ఉంది?","तुमचा दिवस कसा होता?"
"ఏమిటి?","काय चालले आहे?"
"మీ ఉద్దేశ్యం ఏమిటి?","तुम्हाला काय म्हणायचे आहे?"
"మీకు ఖచ్చితంగా తెలుసా?","तुम्हाला खात्री आहे का?"
"మీరు ఏమనుకుంటున్నారు?","तुला काय वाटते?"
"మనం మాట్లాడగలమా?","आम्ही बोलू शकतो?"
"ఏమి జరిగింది?","काय झाले?"
"మీరు బాగున్నారా?","आपण ठीक आहात?"
"అవును","होय"
"లేదు","नाही"
"సరే","ठीक आहे"
"సరే","ठीक आहे"
"కూల్","मस्त"
"గొప్పది","छान"
"మంచిది","चांगले"
"చెడ్డది","वाईट"
"బహుశా","कदाचित"
"ఖచ్చితంగా","नक्की"
"ఎప్పుడూ","कधीही नाही"
"ఎల్లప్పుడూ","नेहमी"
"కోర్సు యొక్క.","नक्कीच."
"నేను అంగీకరిస్తున్నాను.","मी सहमत आहे."
"నేను అంగీకరించలేదు.","मी सहमत नाही."
"సమస్య లేదు.","काही हरकत नाही."
"బాగుంది.","छान वाटते."
"అది మంచి ఆలోచన.","ती चांगली कल्पना आहे."
"i","मी"
"మీరు","आपण"
"అతను","तो"
"ఆమె","ती"
"మేము","आम्ही"
"వారు","ते"
"నేను","मी"
"ఆయన","त्याला"
"ఆమె","ती"
"మాకు","आम्हाला"
"వాటిని","त्यांना"
"నా","माझे"
"మీ","तुझे"
"అతని","त्याचे"
"మా","आमची"
"వారి","त्यांचे"
"స్నేహితుడు","मित्र"
"స్నేహితులు","मित्र"
"కుటుంబం","कुटुंब"
"తల్లి","आई"
"తండ్రి","वडील"
"సోదరి","बहीण"
"సోదరుడు","भाऊ"
"ప్రేమ","प्रेम"
"బేబీ","बाळ"
"సర్","सर"
"మేడమ్","मॅडम"
"హోమ్","मुख्यपृष्ठ"
"పని","काम"
"పాఠశాల","शाळा"
"కళాశాల","कॉलेज"
"కార్యాలయం","कार्यालय"
"ఇక్కడ","येथे"
"అక్కడ","तेथे"
"స్థలం","ठिकाण"
"నగరం","शहर"
"దేశం","देश"
"ప్రపంచం","जग"
"సమయం","वेळ"
"ఈ రోజు","आज"
"రేపు","उद्या"
"నిన్న","काल"
"ఇప్పుడు","आता"
"తరువాత","नंतर"
"త్వరలో","लवकरच"
"నిమిషం","मिनिट"
"గంట","तास"
"రోజు","दिवस"
"వారం","आठवडा"
"నెల","महिना"
"సంవత్సరం","वर्ष"
"సందేశం","संदेश"
"వచనం","मजकूर"
"ఫోటో","फोटो"
"వీడియో","व्हिडिओ"
"పాట","गाणे"
"సినిమా","चित्रपट"
"ఆట","खेळ"
"ఆహారం","अन्न"
"నీరు","पाणी"
"టీ","चहा"
"కాఫీ","कॉफी"
"పేరు","नाव"
"సంఖ్య","क्रमांक"
"డబ్బు","पैसा"
"సహాయం","मदत"
"సమస్య","समस्या"
"ఆలోచన","कल्पना"
"విషయం","गोष्ट"
"విషయాలు","गोष्टी"
"జీవితం","जीवन"
"ఉద్యోగం","नोकरी"
"కారు","कार"
"బైక్","दुचाकी"
"బస్సు","बस"
"రైలు","ट्रेन"
"వెళ్ళు","जा"
"రండి","या"
"చూడండి","पहा"
"చూడండి","पहा"
"చూడండి","पहा"
"వినండి","ऐका"
"తినండి","खा"
"పానీయం","प्या"
"నిద్ర","झोप"
"వేచి ఉండండి","प्रतीक्षा करा"
"చర్చ","चर्चा"
"మాట్లాడండి","बोला"
"చెప్పండి","म्हणा"
"చెప్పండి","सांगा"
"అడగండి","विचारा"
"సమాధానం","उत्तर"
"తెలుసు","माहित आहे"
"ఆలోచించండి","विचार करा"
"అర్థం చేసుకోండి","समजून घ्या"
"సగటు","म्हणजे"
"ఆడండి","खेळा"
"ఇష్టం","आवडले"
"ద్వేషం","द्वेष"
"కావాలి","हवे आहे"
"అవసరం","गरज"
"ఇవ్వండి","द्या"
"తీసుకోండి","घ्या"
"పంపండి","पाठवा"
"స్వీకరించండి","प्राप्त"
"కాల్","कॉल"
"కలుసుకోండి","भेटा"
"ప్రారంభించండి","प्रारंभ करा"
"ఆపు","थांबवा"
"ముగించు","समाप्त"
"ప్రయత్నించండి","प्रयत्न करा"
"చేయండి","करा"
"చేయండి","बनवा"
"సంతోషంగా ఉంది","आनंदी"
"విచారంగా ఉంది","दु: खी"
"కోపం","राग"
"అలసిపోతుంది","थकलेले"
"ఆకలితో","भुकेले"
"బిజీ","व्यस्त"
"ఉచితం","मुक्त"
"క్రొత్తది","नवीन"
"పాత","जुने"
"పెద్దది","मोठे"
"చిన్నది","लहान"
"లాంగ్","लांब"
"చిన్నది","लहान"
"వేడి","गरम"
"చలి","थंड"
"బాగుంది","छान"
"అందమైన","सुंदर"
"అద్భుతం","छान"
"అమేజింగ్","आश्चर्यकारक"
"నిజంగా","खरोखर"
"చాలా","खूप"
"కాబట్టి","तर"
"చాలా","खूप"
"అప్పుడు","मग"
"కొన్నిసార్లు","कधीकधी"
"తరచుగా","अनेकदा"
"మళ్ళీ","पुन्हा"
