"उंटाच्या तोंडात जीरं","ऊँट के मुँह में जीरा"
"नाकी नऊ आणणे","नाक में दम करना"
"आगीतून फुफाट्यात पडणे","आग से कूदकर खाई में गिरना"
"थोतांडाचा पाटा मोठा","ढोल की पोल"
"घरचा वैरी संकट ओढतो","घर का दुश्मन संकट लाता है"
"सापही मेलं आणि काठीही तुटली नाही","सांप भी मर गया और लाठी भी नहीं टूटी"
"दुधाने भाजलेला ताकही फुंकून पितो","दूध का जला छाछ भी फूँक फूँक कर पीता है"
"पळ काढणे","नौ दो ग्यारह होना"
"हात झटकणे","हाथ झाड़ लेना"
"दिवस ढकलणे","दिन काटना"
"गाढवापुढं वीणा वाजवणे","भैंस के आगे बीन बजाना"
"डोळा मिचकावता क्षणी","आँख झपकते ही"
"कुत्र्याची शेपटी वाकडीची वाकडीच","कुत्ते की दुम टेढ़ी की टेढ़ी"
"कागदी वाघ","कागज़ी शेर"
"प्राणपणाने मेहनत करणे","जान लगाकर मेहनत करना"
"डोळ्यातला तारा","आँखों का तारा"
"दीपाखाली अंधार","दीपक तले अँधेरा"
"तोंडावर राम, पोटात खंजीर","मुंह में राम, बगल में छुरी"
"मोठ्या संकटासमोर लहान पडणे","बड़े संकट के आगे छोटा पड़ना"
"पाय घसरला","फिसल जाना / गलती होना"
"दुधावरची साय खाणे","मलाई खाना"
"ताटातलं खाऊन भांडणं","थाली में खाकर उसी में छेद करना"
"पाण्यातला पोहायला घाबरणं","पानी में रहकर मगर से डरना"
"वाढता वाढे आणी घडता घडे","जैसे-जैसे बढ़ता है, वैसे-वैसे फलता है"
"डोळ्यांवर पट्टी बसणे","आँखों पर पट्टी बाँधना"
"खिसा रिकामा होणे","जेब खाली होना"
"धन्य धन्य म्हणणे","वाह-वाह करना"
"चोराच्या उलट्या बोंबा","उल्टा चोर कोतवाल को डाँटे"
"उंटाला शेंगाची गाठ","ऊँट को चने की झाड़"
