"नौ दो ग्यारह होना","ஓடி மறைந்து போதல்"
"ऊंट के मुँह में जीरा","ஒட்டகத்துக்கு எள்ளு கொடுத்த மாதிரி"
"नाक कट जाना","மரியாதை போதல்"
"नाक में दम करना","மூச்சுத்திணற செய்யுதல்"
"तेल देखो तेल की धार देखो","காத்திருந்து பார்ப்போம்"
"दूध का जला छाछ भी फूँक फूँक कर पीता है","பால் சுட்டவனுக்கு தயிரும் ஊதித்தான் குடிப்பான்"
"आसमान से गिरा खजूर में अटका","ஒரு பிரச்சனை விட்டு இன்னொன்றில் விழுதல்"
"थोथा चना बाजे घना","காலி டப்பா தான் அதிக சத்தம் போடுது"
"घर का भेदी लंका ढाए","உள்ளம் துரோகி வீட்டை சிதைக்கும்"
"साँप भी मर जाए और लाठी भी न टूटे","இரண்டு பயனையும் ஒரே நேரத்தில் அடைதல்"
"मन में लड्डू फूटना","மனம் மகிழ்ச்சி பொங்குதல்"
"खिसियानी बिल्ली खंभा नोचे","தோல்வியால் சீற்றம் காட்டுதல்"
"हाथ कंगन को आरसी क्या","வெளிப்படையான சாட்சிக்கு விளக்கம் தேவையா?"
"राम नाम सत्य है","இறப்பு உண்மை / வாழ்க்கை நிலையற்றது"
"दाल में कुछ काला है","சந்தேகமானது"
"आम के आम गुठलियों के दाम","இரண்டு லாபம் ஒரே நேரத்தில்"
"अंधेर नगरी चौपट राजा","அமைதி இல்லாத ஆட்சி"
"हाथ मलते रह जाना","விரக்தியுடன் கை விரித்துக் கொண்டிருத்தல்"
"पलक झपकते ही","ஒரு கணத்தில்"
"लोहे को लोहे से काटना","இரும்பை இரும்பால் வெட்டுதல்"
"कुत्ते की दुम टेढ़ी की टेढ़ी","நாய் வால் எப்போதும் வளைந்துதான் இருக்கும்"
"सिर मुँडाते ही ओले पड़ना","தொடக்கத்திலேயே சிக்கல் வருதல்"
"भैंस के आगे बीन बजाना","மாடுக்கு வீணை வாசித்தல்"
"एक तीर से दो शिकार","ஒரே கல்லில் இரண்டு மாங்காய்"
"कागज़ी शेर","காகித சிங்கம்"
"खून पसीना एक करना","உழைப்பை வியர்வை சேர்த்தல் / கடுமையாக உழைத்தல்"
"आँखों का तारा","கண்ணின் முத்து"
"चिराग तले अंधेरा","விளக்கின் அடியில் இருள்"
"मुँह में राम बगल में छुरी","வாயில் நல்லது, உள்ளத்தில் தீமை"
"ऊँट पहाड़ के नीचे","மலைக்கு முன் ஒட்டகம் சிறியது"
