"नमस्ते","हॅलो"
"नमस्ते","हाय"
"अरे","अहो"
"अलविदा","निरोप"
"अलविदा","बाय"
"स्वागत","आपले स्वागत आहे"
"सुबह","सकाळी"
"दोपहर","दुपारी"
"शाम","संध्याकाळ"
"रात","रात्री"
"शुभ प्रभात","सुप्रभात"
"शुभ दोपहर","शुभ दुपार"
"शुभ संध्या","शुभ संध्याकाळ"
"शुभ रात्रि","शुभ रात्री"
"बाद में मिलते हैं।","नंतर भेटू."
"अपना ध्यान रखना।","काळजी घ्या."
"क्या","काय"
"कब","जेव्हा"
"कहाँ","कुठे"
"कौन","WHO"
"क्यों","का"
"कैसे","कसे"
"क्या आप?","आपण आहात?"
"आपका क्या नाम है?","तुझे नाव काय आहे?"
"आप क्या कर रहे हो?","आपण काय करीत आहात?"
"ये वक़्त क्या है?","किती वेळ आहे?"
"आप कहाँ से हैं?","तू कोठून आहेस?"
"आपका दिन कैसा रहा?","तुमचा दिवस कसा होता?"
"क्या चल रहा है?","काय चालले आहे?"
"आपका क्या मतलब है?","तुम्हाला काय म्हणायचे आहे?"
"क्या आपको यकीन है?","तुम्हाला खात्री आहे का?"
"आप क्या सोचते हैं?","तुला काय वाटते?"
"क्या हम बात कर सकते हैं?","आम्ही बोलू शकतो?"
"क्या हुआ?","काय झाले?"
"तुम ठीक हो?","आपण ठीक आहात?"
"हाँ","होय"
"नहीं","नाही"
"ठीक है","ठीक आहे"
"ठीक है","ठीक आहे"
"ठंडा","मस्त"
"महान","छान"
"अच्छा","चांगले"
"खराब","वाईट"
"शायद","कदाचित"
"ज़रूर","नक्की"
"कभी नहीं","कधीही नाही"
"हमेशा","नेहमी"
"बिल्कुल।","नक्कीच."
"मैं सहमत हूं।","मी सहमत आहे."
"मैं असहमत हूं।","मी सहमत नाही."
"कोई बात नहीं।","काही हरकत नाही."
"सुनने में तो अच्छा लगता है।","छान वाटते."
"वह एक अच्छा विचार है।","ती चांगली कल्पना आहे."
"मैं","मी"
"आप","आपण"
"वह","तो"
"वह","ती"
"हम","आम्ही"
"वे","ते"
"मुझे","मी"
"उसे","त्याला"
"उसकी","ती"
"हम","आम्हाला"
"उन्हें","त्यांना"
"मेरा","माझे"
"आपका","तुझे"
"उसका","त्याचे"
"हमारा","आमची"
"उनका","त्यांचे"
"दोस्त","मित्र"
"दोस्त","मित्र"
"परिवार","कुटुंब"
"माँ","आई"
"पिता","वडील"
"बहन","बहीण"
"भाई","भाऊ"
"प्यार","प्रेम"
"बच्चा","बाळ"
"महोदय","सर"
"महोदया","मॅडम"
"घर","मुख्यपृष्ठ"
"काम","काम"
"विद्यालय","शाळा"
"कॉलेज","कॉलेज"
"कार्यालय","कार्यालय"
"यहाँ","येथे"
"वहाँ","तेथे"
"जगह","ठिकाण"
"शहर","शहर"
"देश","देश"
"दुनिया","जग"
"समय","वेळ"
"आज","आज"
"कल","उद्या"
"कल","काल"
"अब","आता"
"बाद में","नंतर"
"जल्द ही","लवकरच"
"मिनट","मिनिट"
"घंटा","तास"
"दिन","दिवस"
"सप्ताह","आठवडा"
"महीना","महिना"
"वर्ष","वर्ष"
"संदेश","संदेश"
"मूलपाठ","मजकूर"
"तस्वीर","फोटो"
"वीडियो","व्हिडिओ"
"गाना","गाणे"
"चलचित्र","चित्रपट"
"खेल","खेळ"
"खाना","अन्न"
"पानी","पाणी"
"चाय","चहा"
"कॉफी","कॉफी"
"नाम","नाव"
"संख्या","क्रमांक"
"धन","पैसा"
"मदद","मदत"
"संकट","समस्या"
"विचार","कल्पना"
"चीज़","गोष्ट"
"चीज़ें","गोष्टी"
"ज़िंदगी","जीवन"
"काम","नोकरी"
"कार","कार"
"बाइक","दुचाकी"
"बस","बस"
"रेलगाड़ी","ट्रेन"
"जाना","जा"
"आना","या"
"देखना","पहा"
"देखना","पहा"
"घड़ी","पहा"
"सुनना","ऐका"
"खाओ","खा"
"पीना","प्या"
"नींद","झोप"
"इंतज़ार","प्रतीक्षा करा"
"बात करना","चर्चा"
"बोलना","बोला"
"कहना","म्हणा"
"कहना","सांगा"
"पूछना","विचारा"
"उत्तर","उत्तर"
"जानना","माहित आहे"
"सोचना","विचार करा"
"समझना","समजून घ्या"
"अर्थ","म्हणजे"
"खेल","खेळा"
"पसंद","आवडले"
"घृणा","द्वेष"
"चाहना","हवे आहे"
"ज़रूरत","गरज"
"देना","द्या"
"लेना","घ्या"
"भेजना","पाठवा"
"प्राप्त करें","प्राप्त"
"पुकारना","कॉल"
"मिलो","भेटा"
"शुरू","प्रारंभ करा"
"रुकना","थांबवा"
"खत्म करना","समाप्त"
"कोशिश","प्रयत्न करा"
"करना","करा"
"बनाना","बनवा"
"खुश","आनंदी"
"उदास","दु: खी"
"गुस्सा","राग"
"थका हुआ","थकलेले"
"भूखा","भुकेले"
"व्यस्त","व्यस्त"
"मुक्त","मुक्त"
"नया","नवीन"
"पुराना","जुने"
"बड़ा","मोठे"
"छोटा","लहान"
"लंबा","लांब"
"छोटा","लहान"
"गर्म","गरम"
"ठंडा","थंड"
"अच्छा","छान"
"सुंदर","सुंदर"
"बहुत बढ़िया","छान"
"अद्भुत","आश्चर्यकारक"
"वास्तव में","खरोखर"
"बहुत","खूप"
"इसलिए","तर"
"बहुत","खूप"
"तब","मग"
"कभी-कभी","कधीकधी"
"अक्सर","अनेकदा"
"दोबारा","पुन्हा"
"तेज़","वेगवान"
"धीमा","हळू"
"जल्दी","लवकर"
"देर","उशीरा"
"और","आणि"
"लेकिन","पण"
"या","किंवा"
"क्योंकि","कारण"
"अगर","जर"
"के लिए","साठी"
"में","मध्ये"
"पर","चालू"
"पर","वर"
"को","टू"
"साथ","सह"
"से","पासून"
"के बारे में","बद्दल"
"का","च्या"
"मैं ठीक हूं आपका धन्यवाद।","मी ठीक आहे, धन्यवाद."
"मेरा नाम है...","माझे नाव आहे ..."
"आपसे मिलकर अच्छा लगा।","तुला भेटून आनंद झाला."
"मुझे माफ़ करें।","मला माफ करा."
"मैं यहां से आया हूं...","मी पासून आहे ..."
"क्या आप मेरी मदद कर सकते हैं?","आपण मला मदत करू शकता?"
"मुझें नहीं पता।","मला माहित नाही."
"मैं नहीं समझता।","मला समजत नाही."
"चल दर।","चला जाऊया."
"ज्यादा कुछ नहीं।","जास्त काही नाही."
"यह अच्छा था।","ते चांगले होते."
"मुझे प्यास लगी है।","मला तहान लागली आहे."
"टॉयलेट कहां है?","प्रसाधनगृह कुठे आहे?"
"मुझे आराम करने की ज़रूरत है।","मला विश्रांती घेण्याची गरज आहे."
"बाद में बात करते हैं।","नंतर आपल्याशी बोला."
"रास्ते में हूं।","माझ्या मार्गावर."
"सही हो।","बरोबर परत व्हा."
"अजीब बात है।","ते मजेदार आहे."
"यह बहुत अच्छा है!","ते छान आहे!"
"अरे बाप रे!","अरे देवा!"
"बधाई हो!","अभिनंदन!"
"जन्मदिन की शुभकामनाएँ!","वाढदिवसाच्या हार्दिक शुभेच्छा!"
"आपकी याद आ रही है।","मला तुझी आठवण येते."
"मुझे तुमसे प्यार है।","मी तुझ्यावर प्रेम करतो."
"मुझे कॉल करो।","मला कॉल करा."
"मुझे विषय दें।","मला मजकूर पाठवा."
"आज का क्या प्रोग्राम है?","आज आपल्या काय योजना आहेत?"
"क्या आप कल खाली है?","आपण उद्या मुक्त आहात?"
"मुझे उसकी उम्मीद है।","मी याची अपेक्षा करीत आहे."
"यह बहुत आवश्यक है।","हे तातडीचे आहे."
"चिंता मत करो।","काळजी करू नका."
"कोई बात नहीं।","हे ठीक आहे."
"वह आश्चर्यजनक है!","ते आश्चर्यकारक आहे!"
"मैं बहुत खुश हूं।","मी खूप आनंदी आहे."
