"హలో","hello"
"హాయ్","hi"
"హే","hey"
"వీడ్కోలు","goodbye"
"బై","bye"
"స్వాగతం","welcome"
"ఉదయం","morning"
"మధ్యాహ్నం","afternoon"
"సాయంత్రం","evening"
"రాత్రి","night"
"శుభోదయం","good morning"
"శుభ మధ్యాహ్నం","good afternoon"
"శుభ సాయంత్రం","good evening"
"గుడ్ నైట్","good night"
"తరువాత కలుద్దాం.","see you later."
"జాగ్రత్త వహించండి.","take care."
"ఏమి","what"
"ఎప్పుడు","when"
"ఎక్కడ","where"
"WHO","who"
"ఎందుకు","why"
"ఎలా","how"
"మీరు?","are you?"
"మీ పేరు ఏమిటి?","what is your name?"
"మీరు ఏమి చేస్తున్నారు?","what are you doing?"
"ఇది ఏ సమయం?","what time is it?"
"మీరు ఎక్కడ నుండి వచ్చారు?","where are you from?"
"మీ రోజు ఎలా ఉంది?","how was your day?"
"ఏమిటి?","what's up?"
"మీ ఉద్దేశ్యం ఏమిటి?","what do you mean?"
"మీకు ఖచ్చితంగా తెలుసా?","are you sure?"
"మీరు ఏమనుకుంటున్నారు?","what do you think?"
"మనం మాట్లాడగలమా?","can we talk?"
"ఏమి జరిగింది?","what happened?"
"మీరు బాగున్నారా?","are you okay?"
"అవును","yes"
"లేదు","no"
"సరే","ok"
"సరే","okay"
"కూల్","cool"
"గొప్పది","great"
"మంచిది","good"
"చెడ్డది","bad"
"బహుశా","maybe"
"ఖచ్చితంగా","sure"
"ఎప్పుడూ","never"
"ఎల్లప్పుడూ","always"
"కోర్సు యొక్క.","of course."
"నేను అంగీకరిస్తున్నాను.","i agree."
"నేను అంగీకరించలేదు.","i disagree."
"సమస్య లేదు.","no problem."
"బాగుంది.","sounds good."
"అది మంచి ఆలోచన.","that's a good idea."
"i","i"
"మీరు","you"
"అతను","he"
"ఆమె","she"
"మేము","we"
"వారు","they"
"నేను","me"
"ఆయన","him"
"ఆమె","her"
"మాకు","us"
"వాటిని","them"
"నా","my"
"మీ","your"
"అతని","his"
"మా","our"
"వారి","their"
"స్నేహితుడు","friend"
"స్నేహితులు","friends"
"కుటుంబం","family"
"తల్లి","mother"
"తండ్రి","father"
"సోదరి","sister"
"సోదరుడు","brother"
"ప్రేమ","love"
"బేబీ","baby"
"సర్","sir"
"మేడమ్","madam"
"హోమ్","home"
"పని","work"
"పాఠశాల","school"
"కళాశాల","college"
"కార్యాలయం","office"
"ఇక్కడ","here"
"అక్కడ","there"
"స్థలం","place"
"నగరం","city"
"దేశం","country"
"ప్రపంచం","world"
"సమయం","time"
"ఈ రోజు","today"
"రేపు","tomorrow"
"నిన్న","yesterday"
"ఇప్పుడు","now"
"తరువాత","later"
"త్వరలో","soon"
"నిమిషం","minute"
"గంట","hour"
"రోజు","day"
"వారం","week"
"నెల","month"
"సంవత్సరం","year"
"సందేశం","message"
"వచనం","text"
"ఫోటో","photo"
"వీడియో","video"
"పాట","song"
"సినిమా","movie"
"ఆట","game"
"ఆహారం","food"
"నీరు","water"
"టీ","tea"
"కాఫీ","coffee"
"పేరు","name"
"సంఖ్య","number"
"డబ్బు","money"
"సహాయం","help"
"సమస్య","problem"
"ఆలోచన","idea"
"విషయం","thing"
"విషయాలు","things"
"జీవితం","life"
"ఉద్యోగం","job"
"కారు","car"
"బైక్","bike"
"బస్సు","bus"
"రైలు","train"
"వెళ్ళు","go"
"రండి","come"
"చూడండి","see"
"చూడండి","look"
"చూడండి","watch"
"వినండి","listen"
"తినండి","eat"
"పానీయం","drink"
"నిద్ర","sleep"
"వేచి ఉండండి","wait"
"చర్చ","talk"
"మాట్లాడండి","speak"
"చెప్పండి","say"
"చెప్పండి","tell"
"అడగండి","ask"
"సమాధానం","answer"
"తెలుసు","know"
"ఆలోచించండి","think"
"అర్థం చేసుకోండి","understand"
"సగటు","mean"
"ఆడండి","play"
"ఇష్టం","like"
"ద్వేషం","hate"
"కావాలి","want"
"అవసరం","need"
"ఇవ్వండి","give"
"తీసుకోండి","take"
"పంపండి","send"
"స్వీకరించండి","receive"
"కాల్","call"
"కలుసుకోండి","meet"
"ప్రారంభించండి","start"
"ఆపు","stop"
"ముగించు","finish"
"ప్రయత్నించండి","try"
"చేయండి","do"
"చేయండి","make"
"సంతోషంగా ఉంది","happy"
"విచారంగా ఉంది","sad"
"కోపం","angry"
"అలసిపోతుంది","tired"
"ఆకలితో","hungry"
"బిజీ","busy"
"ఉచితం","free"
"క్రొత్తది","new"
"పాత","old"
"పెద్దది","big"
"చిన్నది","small"
"లాంగ్","long"
"చిన్నది","short"
"వేడి","hot"
"చలి","cold"
"బాగుంది","nice"
"అందమైన","beautiful"
"అద్భుతం","awesome"
"అమేజింగ్","amazing"
"నిజంగా","really"
"చాలా","very"
"కాబట్టి","so"
"చాలా","too"
"అప్పుడు","then"
"కొన్నిసార్లు","sometimes"
"తరచుగా","often"
"మళ్ళీ","again"
"వేగంగా","fast"
"నెమ్మదిగా","slow"
"ప్రారంభంలో","early"
"ఆలస్యంగా","late"
"మరియు","and"
"కానీ","but"
"లేదా","or"
"ఎందుకంటే","because"
"ఉంటే","if"
"కోసం","for"
"ఇన్","in"
"ఆన్","on"
"వద్ద","at"
"to","to"
"తో","with"
"నుండి","from"
"గురించి","about"
"యొక్క","of"
"నేను బాగున్నాను, ధన్యవాదాలు.","i am fine, thank you."
"నా పేరు ...","my name is..."
"మిమ్మల్ని కలవడం ఆనందంగా ఉంది.","nice to meet you."
"నన్ను క్షమించండి.","i'm sorry."
"నేను నుండి ...","i am from..."
"మీరు నాకు సహాయం చేయగలరా?","can you help me?"
"నాకు తెలియదు.","i don't know."
"నాకు అర్థం కాలేదు.","i don't understand."
"వెళ్దాం.","let's go."
"పెద్దగా ఏమీ లేదు.","nothing much."
"ఇది మంచిది.","it was good."
"నాకు దాహం ఉంది.","i am thirsty."
"రెస్ట్‌రూమ్ ఎక్కడ ఉంది?","where is the restroom?"
