"ఒంటె నోరులో జీలకర్ర","ऊँट के मुँह में जीरा"
"ముక్కు మూర్చేంత ఇబ్బంది పెట్టడం","नाक में दम करना"
"మంటల నుంచి పొగలో పడటం","आग से निकलकर खाई में गिरना"
"ఖాళీ పాత్ర ఎక్కువ శబ్దం చేస్తుంది","खाली बर्तन ज्यादा बजते हैं"
"ఇంట్లోని శత్రువు పెద్ద ప్రమాదం","घर का दुश्मन सबसे बड़ा ख़तरा"
"పాము చనిపోతుంది కానీ కర్ర విరగదు","साँप भी मर जाए और लाठी भी न टूटे"
"పాలతో కాలినవాడు మజ్జిగ కూడా ఊది తాగుతాడు","दूध का जला छाछ भी फूँक-फूँक कर पीता है"
"కాలెత్తి పారిపోవడం","नौ दो ग्यारह होना"
"చేతులు కడుక్కోవడం (బాధ్యత తప్పించుకోవడం)","हाथ झाड़ लेना / पल्ला झाड़ लेना"
"రోజులు లాగడం","दिन ढकेलना"
"గాడిద ముందు వీణ వాయించడం","भैंस के आगे बीन बजाना"
"కంటి రెప్ప పాడేలోపే","आँख झपकते ही"
"కుక్క తోక ఎప్పటికీ వంకరగానే ఉంటుంది","कुत्ते की दुम कभी सीधी नहीं होती"
"కాగితం పులి","कागज़ का शेर"
"ప్రాణం పెట్టి కష్టపడటం","जान लगाकर मेहनत करना"
"కళ్లలోని తార","आँखों का तारा"
"దీపం కింద చీకటి","दीये तले अँधेरा"
"నోట్లో రామా, చేతిలో కత్తి","मुँह में राम, बगल में छुरी"
"పెద్ద కష్టంలో చిన్నది కనిపించకపోవడం","बड़े संकट में छोटी चीज़ नज़र नहीं आती"
"కాలు జారి పడటం","पाँव फिसलना"
"పాలు మీద క్రీమ్ తినడం","दूध की मलाई खाना (सबसे अच्छा हिस्सा लेना)"
"తిన్న ప్లేట్ మీద గొడవ పెట్టడం","जिस थाली में खाया उसी में छेद करना"
"నీటిలో ఉండి మొసలి భయపడటం","नदी में रहकर मगरमच्छ से बैर"
"పెరుగుతుంటే పెరుగుతుంది, జరుగుతుంటే జరుగుతుంది","बढ़ता है तो और बढ़ता है"
"కళ్లకు గంత కట్టుకోవడం","आँखों पर पट्टी बाँध लेना"
"జేబు ఖాళీ అవ్వడం","जेब खाली हो जाना"
"అహా అని పొగడడం","वाह-वाह करना / प्रशंसा करना"
"దొంగ కాపలాదారిని దూషించడం","चोर मचाए शोर"
"ఒంటెకు శనగ గింజ","ऊँट को जीरे का दाना"
