नमस्ते,வணக்கம்
नमस्ते,ஹாய்
अरे,ஏய்
अलविदा,குட்பை
अलविदा,பை
स्वागत,வரவேற்கிறோம்
सुबह,காலை
दोपहर,பிற்பகல்
शाम,மாலை
रात,இரவு
शुभ प्रभात,காலை வணக்கம்
शुभ दोपहर,நல்ல மதியம்
शुभ संध्या,நல்ல மாலை
शुभ रात्रि,நல்ல இரவு
बाद में मिलते हैं।,பின்னர் சந்திப்போம்.
अपना ध्यान रखना।,கவனித்துக் கொள்ளுங்கள்.
क्या,என்ன
कब,எப்போது
कहाँ,எங்கே
कौन,WHO
क्यों,ஏன்
कैसे,எப்படி
क्या आप?,நீங்கள்?
आपका क्या नाम है?,உங்கள் பெயர் என்ன?
आप क्या कर रहे हो?,நீங்கள் என்ன செய்கிறீர்கள்?
ये वक़्त क्या है?,இது என்ன நேரம்?
आप कहाँ से हैं?,நீங்கள் எங்கிருந்து வருகிறீர்கள்?
आपका दिन कैसा रहा?,உங்கள் நாள் எப்படி இருந்தது?
क्या चल रहा है?,என்ன?
आपका क्या मतलब है?,நீங்கள் என்ன சொல்கிறீர்கள்?
क्या आपको यकीन है?,நீங்கள் உறுதியாக இருக்கிறீர்களா?
आप क्या सोचते हैं?,நீங்கள் என்ன நினைக்கிறீர்கள்?
क्या हम बात कर सकते हैं?,நாம் பேச முடியுமா?
क्या हुआ?,என்ன நடந்தது?
तुम ठीक हो?,நீங்கள் நலமாக இருக்கிறீர்களா?
हाँ,ஆம்
नहीं,இல்லை
ठीक है,சரி
ठीक है,சரி
ठंडा,குளிர்
महान,பெரிய
अच्छा,நல்லது
खराब,மோசமான
शायद,ஒருவேளை
ज़रूर,நிச்சயமாக
कभी नहीं,ஒருபோதும்
हमेशा,எப்போதும்
बिल्कुल।,நிச்சயமாக.
मैं सहमत हूं।,நான் ஒப்புக்கொள்கிறேன்.
मैं असहमत हूं।,நான் உடன்படவில்லை.
कोई बात नहीं।,எந்த பிரச்சனையும் இல்லை.
सुनने में तो अच्छा लगता है।,நன்றாக இருக்கிறது.
वह एक अच्छा विचार है।,அது ஒரு நல்ல யோசனை.
मैं,i
आप,நீங்கள்
वह,அவர்
वह,அவள்
हम,நாங்கள்
वे,அவர்கள்
मुझे,நான்
उसे,அவர்
उसकी,அவள்
हम,எங்களுக்கு
उन्हें,அவர்கள்
मेरा,என்
आपका,உங்கள்
उसका,அவரது
हमारा,எங்கள்
उनका,அவர்களின்
दोस्त,நண்பர்
दोस्त,நண்பர்கள்
परिवार,குடும்பம்
माँ,அம்மா
पिता,தந்தை
बहन,சகோதரி
भाई,சகோதரர்
प्यार,காதல்
बच्चा,குழந்தை
महोदय,ஐயா
महोदया,மேடம்
घर,வீடு
काम,வேலை
विद्यालय,பள்ளி
कॉलेज,கல்லூரி
कार्यालय,அலுவலகம்
यहाँ,இங்கே
वहाँ,அங்கே
जगह,இடம்
शहर,நகரம்
देश,நாடு
दुनिया,உலகம்
समय,நேரம்
आज,இன்று
कल,நாளை
कल,நேற்று
अब,இப்போது
बाद में,பின்னர்
जल्द ही,விரைவில்
मिनट,நிமிடங்கள்
घंटा,மணி
दिन,நாள்
सप्ताह,வாரம்
महीना,மாதம்
वर्ष,ஆண்டு
संदेश,செய்தி
मूलपाठ,உரை
तस्वीर,புகைப்படம்
वीडियो,வீடியோ
गाना,பாடல்
चलचित्र,படம்
खेल,விளையாட்டு
खाना,உணவு
पानी,நீர்
चाय,தேநீர்
कॉफी,காபி
नाम,பெயர்
संख्या,எண்
धन,பணம்
मदद,உதவி
संकट,சிக்கல்
विचार,யோசனை
चीज़,விஷயம்
चीज़ें,விஷயங்கள்
ज़िंदगी,வாழ்க்கை
काम,வேலை
कार,கார்
बाइक,பைக்
बस,பஸ்
रेलगाड़ी,ரயில்
जाना,போ
आना,வாருங்கள்
देखना,பார்க்க
देखना,பார்
घड़ी,வாட்ச்
सुनना,கேளுங்கள்
खाओ,சாப்பிடுங்கள்
पीना,பானம்
नींद,தூங்கு
इंतज़ार,காத்திருங்கள்
बात करना,பேச்சு
बोलना,பேசுங்கள்
कहना,சொல்லுங்கள்
कहना,சொல்லுங்கள்
पूछना,கேளுங்கள்
उत्तर,பதில்
जानना,தெரியும்
सोचना,சிந்தியுங்கள்
समझना,புரிந்து கொள்ளுங்கள்
अर्थ,சராசரி
खेल,விளையாடுங்கள்
पसंद,போன்ற
घृणा,வெறுப்பு
चाहना,வேண்டும்
ज़रूरत,தேவை
देना,கொடுங்கள்
लेना,எடுத்துக் கொள்ளுங்கள்
भेजना,அனுப்பு
प्राप्त करें,பெறுங்கள்
पुकारना,அழைப்பு
मिलो,சந்திப்பு
शुरू,தொடக்க
रुकना,நிறுத்து
खत्म करना,முடிக்க
कोशिश,முயற்சிக்கவும்
करना,செய்
बनाना,உருவாக்கு
खुश,மகிழ்ச்சி
उदास,சோகம்
गुस्सा,கோபம்
थका हुआ,சோர்வாக
भूखा,பசி
व्यस्त,பிஸியாக
मुक्त,இலவசம்
नया,புதியது
पुराना,பழைய
बड़ा,பெரியது
छोटा,சிறிய
लंबा,நீண்ட
छोटा,குறுகிய
गर्म,சூடாக
ठंडा,குளிர்
अच्छा,நல்லது
सुंदर,அழகான
बहुत बढ़िया,அருமை
अद्भुत,ஆச்சரியம்
वास्तव में,உண்மையில்
बहुत,மிகவும்
इसलिए,எனவே
बहुत,கூட
तब,பின்னர்
कभी-कभी,சில நேரங்களில்
अक्सर,பெரும்பாலும்
दोबारा,மீண்டும்
तेज़,வேகமாக
धीमा,மெதுவாக
जल्दी,ஆரம்பத்தில்
देर,தாமதமாக
और,மற்றும்
लेकिन,ஆனால்
या,அல்லது
क्योंकि,ஏனெனில்
अगर,என்றால்
के लिए,க்கு
में,இல்
पर,ஆன்
पर,at
को,to
साथ,உடன்
से,இருந்து
के बारे में,பற்றி
का,of
मैं ठीक हूं आपका धन्यवाद।,"நான் நன்றாக இருக்கிறேன், நன்றி."
मेरा नाम है...,என் பெயர் ...
आपसे मिलकर अच्छा लगा।,உங்களை சந்தித்ததில் மகிழ்ச்சி.
मुझे माफ़ करें।,மன்னிக்கவும்.
मैं यहां से आया हूं...,நான் இருந்து ...
क्या आप मेरी मदद कर सकते हैं?,நீங்கள் எனக்கு உதவ முடியுமா?
मुझें नहीं पता।,எனக்குத் தெரியாது.
मैं नहीं समझता।,எனக்கு புரியவில்லை.
चल दर।,போகலாம்.
ज्यादा कुछ नहीं।,அதிகம் எதுவும் இல்லை.
यह अच्छा था।,அது நன்றாக இருந்தது.
मुझे प्यास लगी है।,எனக்கு தாகம் இருக்கிறது.
टॉयलेट कहां है?,ரெஸ்ட் ரூம் எங்குள்ளது?
मुझे आराम करने की ज़रूरत है।,நான் ஓய்வெடுக்க வேண்டும்.
बाद में बात करते हैं।,உங்களுடன் பின்னர் பேசுங்கள்.
रास्ते में हूं।,என் வழியில்.
सही हो।,வலதுபுறம் இருங்கள்.
अजीब बात है।,அது வேடிக்கையானது.
यह बहुत अच्छा है!,அது பெரியது!
अरे बाप रे!,கடவுளே!
बधाई हो!,வாழ்த்துக்கள்!
जन्मदिन की शुभकामनाएँ!,பிறந்தநாள் வாழ்த்துக்கள்!
आपकी याद आ रही है।,நான் உன்னை இழக்கிறேன்.
मुझे तुमसे प्यार है।,நான் உன்னை நேசிக்கிறேன்.
मुझे कॉल करो।,என்னை அழைக்கவும்.
मुझे विषय दें।,எனக்கு உரை அனுப்பவும்.
आज का क्या प्रोग्राम है?,இன்றைய உங்கள் திட்டங்கள் என்ன?
क्या आप कल खाली है?,நாளை நீங்கள் இலவசமா?
मुझे उसकी उम्मीद है।,நான் அதை எதிர்பார்க்கிறேன்.
यह बहुत आवश्यक है।,இது அவசரம்.
चिंता मत करो।,கவலைப்பட வேண்டாம்.
कोई बात नहीं।,பரவாயில்லை.
वह आश्चर्यजनक है!,அது ஆச்சரியமாக இருக்கிறது!
मैं बहुत खुश हूं।,நான் மிகவும் மகிழ்ச்சியாக இருக்கிறேன்.
मैं बहुत दुखी हूँ।,நான் மிகவும் சோகமாக இருக்கிறேன்.
मैं उत्साहित हूं।,நான் உற்சாகமாக இருக்கிறேன்.
मुझे ऊबन हो चुकी है।,எனக்கு சலிப்பு.
मुजे जाना है।,நான் செல்ல வேண்டும்.
मैं वहां रहूंगा।,நான் அங்கே இருப்பேன்.
मुझे मदद की ज़रूरत है।,எனக்கு உதவி தேவை.
एक पल इंतज़ार करें।,ஒரு கணம் காத்திருங்கள்.
मैं सिर्फ मजाक कर रहा हूं।,நான் விளையாடுகிறேன்.
मुझे यकीन नहीं है।,எனக்கு நிச்சயமாகத் தெரியவில்லை.
मुझे पता नहीं है।,எனக்கு எதுவும் தெரியாது.
यह खूबसूरत है।,இது அழகாக இருக்கிறது.
यह स्वादिष्ट है।,இது சுவையாக இருக்கிறது.
मैं बीमार महसूस कर रहा हूं।,எனக்கு உடம்பு சரியில்லை.
जल्द स्वस्थ हो जाओ।,விரைவில் குணமடையுங்கள்.
हम कहाँ जा रहे हैं?,நாங்கள் எங்கே போகிறோம்?
मैं हार गया हूं।,நான் தொலைந்துவிட்டேன்.
क्या आप उसे दोहरा सकते हैं?,அதை மீண்டும் செய்ய முடியுமா?
धीरे बोलो।,மெதுவாக பேசுங்கள்.
यह क्या है?,இது என்ன?
यह कितने का है?,இது எவ்வளவு?
मैं इसे ले जाऊँगा।,நான் அதை எடுத்துக்கொள்வேன்.
क्या आपके पास यह दूसरे रंग में है?,உங்களிடம் இது மற்றொரு நிறத்தில் இருக்கிறதா?
जहां मुझे मिल सकता है...?,நான் எங்கே காணலாம் ...?
मैं बस देख रहा हूँ।,நான் பார்க்கிறேன்.
आपका दिन अच्छा रहे!,ஒரு சிறந்த நாள்!
आप भी!,நீங்களும்!
आपको कामयाबी मिले!,நல்ல அதிர்ஷ்டம்!
ज़ोर-ज़ोर से हंसना,lol
बीआरबी,Brb
ओएमडब्ल्यू,OMW
बीटीडब्ल्यू,btw
इमो,IMO
बाद में बात करता हूं,ttyl
आंदोलन,idk
यथाशीघ्र,விரைவில்
फोमो,ஃபோமோ
बकरी,ஆடு
जगमगाता,லைட்
मोड़ना,நெகிழ்வு
नमकीन,உப்பு
टोपी,தொப்பி
बधाई,வாழ்த்துக்கள்
धन्यवाद,நன்றி
सुड़कना,சுப்
यो,யோ
दोस्त,கனா
भाई,சகோ
आई,சிஸ்
आदमी,மனிதன்
महिला,பெண்
लड़की,பெண்
लड़का,பையன்
व्यक्ति,நபர்
लोग,மக்கள்
पल,கணம்
रास्ता,வழி
भाग,பகுதி
समूह,குழு
कंपनी,நிறுவனம்
सवाल,கேள்வி
तथ्य,உண்மை
कहानी,கதை
