"नमस्ते","hello"
"नमस्ते","hi"
"अरे","hey"
"अलविदा","goodbye"
"अलविदा","bye"
"स्वागत","welcome"
"सुबह","morning"
"दोपहर","afternoon"
"शाम","evening"
"रात","night"
"शुभ प्रभात","good morning"
"शुभ दोपहर","good afternoon"
"शुभ संध्या","good evening"
"शुभ रात्रि","good night"
"बाद में मिलते हैं।","see you later."
"अपना ध्यान रखना।","take care."
"क्या","what"
"कब","when"
"कहाँ","where"
"कौन","who"
"क्यों","why"
"कैसे","how"
"क्या आप?","are you?"
"आपका क्या नाम है?","what is your name?"
"आप क्या कर रहे हो?","what are you doing?"
"ये वक़्त क्या है?","what time is it?"
"आप कहाँ से हैं?","where are you from?"
"आपका दिन कैसा रहा?","how was your day?"
"क्या चल रहा है?","what's up?"
"आपका क्या मतलब है?","what do you mean?"
"क्या आपको यकीन है?","are you sure?"
"आप क्या सोचते हैं?","what do you think?"
"क्या हम बात कर सकते हैं?","can we talk?"
"क्या हुआ?","what happened?"
"तुम ठीक हो?","are you okay?"
"हाँ","yes"
"नहीं","no"
"ठीक है","ok"
"ठीक है","okay"
"ठंडा","cool"
"महान","great"
"अच्छा","good"
"खराब","bad"
"शायद","maybe"
"ज़रूर","sure"
"कभी नहीं","never"
"हमेशा","always"
"बिल्कुल।","of course."
"मैं सहमत हूं।","i agree."
"मैं असहमत हूं।","i disagree."
"कोई बात नहीं।","no problem."
"सुनने में तो अच्छा लगता है।","sounds good."
"वह एक अच्छा विचार है।","that's a good idea."
"मैं","i"
"आप","you"
"वह","he"
"वह","she"
"हम","we"
"वे","they"
"मुझे","me"
"उसे","him"
"उसकी","her"
"हम","us"
"उन्हें","them"
"मेरा","my"
"आपका","your"
"उसका","his"
"हमारा","our"
"उनका","their"
"दोस्त","friend"
"दोस्त","friends"
"परिवार","family"
"माँ","mother"
"पिता","father"
"बहन","sister"
"भाई","brother"
"प्यार","love"
"बच्चा","baby"
"महोदय","sir"
"महोदया","madam"
"घर","home"
"काम","work"
"विद्यालय","school"
"कॉलेज","college"
"कार्यालय","office"
"यहाँ","here"
"वहाँ","there"
"जगह","place"
"शहर","city"
"देश","country"
"दुनिया","world"
"समय","time"
"आज","today"
"कल","tomorrow"
"कल","yesterday"
"अब","now"
"बाद में","later"
"जल्द ही","soon"
"मिनट","minute"
"घंटा","hour"
"दिन","day"
"सप्ताह","week"
"महीना","month"
"वर्ष","year"
"संदेश","message"
"मूलपाठ","text"
"तस्वीर","photo"
"वीडियो","video"
"गाना","song"
"चलचित्र","movie"
"खेल","game"
"खाना","food"
"पानी","water"
"चाय","tea"
"कॉफी","coffee"
"नाम","name"
"संख्या","number"
"धन","money"
"मदद","help"
"संकट","problem"
"विचार","idea"
"चीज़","thing"
"चीज़ें","things"
"ज़िंदगी","life"
"काम","job"
"कार","car"
"बाइक","bike"
"बस","bus"
"रेलगाड़ी","train"
"जाना","go"
"आना","come"
"देखना","see"
"देखना","look"
"घड़ी","watch"
"सुनना","listen"
"खाओ","eat"
"पीना","drink"
"नींद","sleep"
"इंतज़ार","wait"
"बात करना","talk"
"बोलना","speak"
"कहना","say"
"कहना","tell"
"पूछना","ask"
"उत्तर","answer"
"जानना","know"
"सोचना","think"
"समझना","understand"
"अर्थ","mean"
"खेल","play"
"पसंद","like"
"घृणा","hate"
"चाहना","want"
"ज़रूरत","need"
"देना","give"
"लेना","take"
"भेजना","send"
"प्राप्त करें","receive"
"पुकारना","call"
"मिलो","meet"
"शुरू","start"
"रुकना","stop"
"खत्म करना","finish"
"कोशिश","try"
"करना","do"
"बनाना","make"
"खुश","happy"
"उदास","sad"
"गुस्सा","angry"
"थका हुआ","tired"
"भूखा","hungry"
"व्यस्त","busy"
"मुक्त","free"
"नया","new"
"पुराना","old"
"बड़ा","big"
"छोटा","small"
"लंबा","long"
"छोटा","short"
"गर्म","hot"
"ठंडा","cold"
"अच्छा","nice"
"सुंदर","beautiful"
"बहुत बढ़िया","awesome"
"अद्भुत","amazing"
"वास्तव में","really"
"बहुत","very"
"इसलिए","so"
"बहुत","too"
"तब","then"
"कभी-कभी","sometimes"
"अक्सर","often"
"दोबारा","again"
"तेज़","fast"
"धीमा","slow"
"जल्दी","early"
"देर","late"
"और","and"
"लेकिन","but"
"या","or"
"क्योंकि","because"
"अगर","if"
"के लिए","for"
"में","in"
"पर","on"
"पर","at"
"को","to"
"साथ","with"
"से","from"
"के बारे में","about"
"का","of"
"मैं ठीक हूं आपका धन्यवाद।","i am fine, thank you."
"मेरा नाम है...","my name is..."
"आपसे मिलकर अच्छा लगा।","nice to meet you."
"मुझे माफ़ करें।","i'm sorry."
"मैं यहां से आया हूं...","i am from..."
"क्या आप मेरी मदद कर सकते हैं?","can you help me?"
"मुझें नहीं पता।","i don't know."
"मैं नहीं समझता।","i don't understand."
"चल दर।","let's go."
"ज्यादा कुछ नहीं।","nothing much."
"यह अच्छा था।","it was good."
"मुझे प्यास लगी है।","i am thirsty."
"टॉयलेट कहां है?","where is the restroom?"
"मुझे आराम करने की ज़रूरत है।","i need to rest."
"बाद में बात करते हैं।","talk to you later."
"रास्ते में हूं।","on my way."
"सही हो।","be right back."
"अजीब बात है।","that's funny."
"यह बहुत अच्छा है!","that's great!"
"अरे बाप रे!","oh my god!"
"बधाई हो!","congratulations!"
"जन्मदिन की शुभकामनाएँ!","happy birthday!"
"आपकी याद आ रही है।","i miss you."
"मुझे तुमसे प्यार है।","i love you."
"मुझे कॉल करो।","call me."
"मुझे विषय दें।","text me."
"आज का क्या प्रोग्राम है?","what are your plans for today?"
"क्या आप कल खाली है?","are you free tomorrow?"
"मुझे उसकी उम्मीद है।","i am looking forward to it."
"यह बहुत आवश्यक है।","it's urgent."
"चिंता मत करो।","don't worry."
"कोई बात नहीं।","it's okay."
"वह आश्चर्यजनक है!","that's amazing!"
"मैं बहुत खुश हूं।","i am so happy."
"मैं बहुत दुखी हूँ।","i am so sad."
"मैं उत्साहित हूं।","i am excited."
"मुझे ऊबन हो चुकी है।","i am bored."
"मुजे जाना है।","i have to go."
"मैं वहां रहूंगा।","i will be there."
"मुझे मदद की ज़रूरत है।","i need help."
"एक पल इंतज़ार करें।","wait a moment."
"मैं सिर्फ मजाक कर रहा हूं।","i am just kidding."
"मुझे यकीन नहीं है।","i am not sure."
"मुझे पता नहीं है।","i have no idea."
"यह खूबसूरत है।","it's beautiful."
"यह स्वादिष्ट है।","it's delicious."
"मैं बीमार महसूस कर रहा हूं।","i am feeling sick."
"जल्द स्वस्थ हो जाओ।","get well soon."
"हम कहाँ जा रहे हैं?","where are we going?"
"मैं हार गया हूं।","i'm lost."
"क्या आप उसे दोहरा सकते हैं?","can you repeat that?"
"धीरे बोलो।","speak slowly."
"यह क्या है?","what is this?"
"यह कितने का है?","how much is this?"
"मैं इसे ले जाऊँगा।","i'll take it."
"क्या आपके पास यह दूसरे रंग में है?","do you have this in another color?"
"जहां मुझे मिल सकता है...?","where can i find...?"
"मैं बस देख रहा हूँ।","i'm just looking."
"आपका दिन अच्छा रहे!","have a great day!"
"आप भी!","you too!"
"आपको कामयाबी मिले!","good luck!"
"ज़ोर-ज़ोर से हंसना","lol"
"बीआरबी","brb"
"ओएमडब्ल्यू","omw"
"बीटीडब्ल्यू","btw"
"इमो","imo"
"बाद में बात करता हूं","ttyl"
"आंदोलन","idk"
"यथाशीघ्र","asap"
"फोमो","fomo"
"बकरी","goat"
"जगमगाता","lit"
"मोड़ना","flex"
"नमकीन","salty"
"टोपी","cap"
"बधाई","congrats"
"धन्यवाद","thanks"
"सुड़कना","sup"
"यो","yo"
"दोस्त","dude"
"भाई","bro"
"आई","sis"
"आदमी","man"
"महिला","woman"
"लड़की","girl"
"लड़का","boy"
"व्यक्ति","person"
"लोग","people"
"पल","moment"
"रास्ता","way"
"भाग","part"
"समूह","group"
"कंपनी","company"
"सवाल","question"
"तथ्य","fact"
"कहानी","story"
"किताब","book"
"संगीत","music"
"कला","art"
"छवि","image"
"चित्र","picture"
"रंग","color"
"वायु","air"
"आग","fire"
"धरती","earth"
"सूरज","sun"
"चंद्रमा","moon"
"तारा","star"
"आकाश","sky"
"समुद्र","sea"
"नदी","river"
"पर्वत","mountain"
"पेड़","tree"
"फूल","flower"
"जानवर","animal"
"कुत्ता","dog"
"बिल्ली","cat"
"चिड़िया","bird"
"मछली","fish"
"घर","house"
