"హలో","नमस्ते"
"హాయ్","नमस्ते"
"హే","अरे"
"వీడ్కోలు","अलविदा"
"బై","अलविदा"
"స్వాగతం","स्वागत"
"ఉదయం","सुबह"
"మధ్యాహ్నం","दोपहर"
"సాయంత్రం","शाम"
"రాత్రి","रात"
"శుభోదయం","शुभ प्रभात"
"శుభ మధ్యాహ్నం","शुभ दोपहर"
"శుభ సాయంత్రం","शुभ संध्या"
"గుడ్ నైట్","शुभ रात्रि"
"తరువాత కలుద్దాం.","बाद में मिलते हैं।"
"జాగ్రత్త వహించండి.","अपना ध्यान रखना।"
"ఏమి","क्या"
"ఎప్పుడు","कब"
"ఎక్కడ","कहाँ"
"WHO","कौन"
"ఎందుకు","क्यों"
"ఎలా","कैसे"
"మీరు?","क्या आप?"
"మీ పేరు ఏమిటి?","आपका क्या नाम है?"
"మీరు ఏమి చేస్తున్నారు?","आप क्या कर रहे हो?"
"ఇది ఏ సమయం?","ये वक़्त क्या है?"
"మీరు ఎక్కడ నుండి వచ్చారు?","आप कहाँ से हैं?"
"మీ రోజు ఎలా ఉంది?","आपका दिन कैसा रहा?"
"ఏమిటి?","क्या चल रहा है?"
"మీ ఉద్దేశ్యం ఏమిటి?","आपका क्या मतलब है?"
"మీకు ఖచ్చితంగా తెలుసా?","क्या आपको यकीन है?"
"మీరు ఏమనుకుంటున్నారు?","आप क्या सोचते हैं?"
"మనం మాట్లాడగలమా?","क्या हम बात कर सकते हैं?"
"ఏమి జరిగింది?","क्या हुआ?"
"మీరు బాగున్నారా?","तुम ठीक हो?"
"అవును","हाँ"
"లేదు","नहीं"
"సరే","ठीक है"
"సరే","ठीक है"
"కూల్","ठंडा"
"గొప్పది","महान"
"మంచిది","अच्छा"
"చెడ్డది","खराब"
"బహుశా","शायद"
"ఖచ్చితంగా","ज़रूर"
"ఎప్పుడూ","कभी नहीं"
"ఎల్లప్పుడూ","हमेशा"
"కోర్సు యొక్క.","बिल्कुल।"
"నేను అంగీకరిస్తున్నాను.","मैं सहमत हूं।"
"నేను అంగీకరించలేదు.","मैं असहमत हूं।"
"సమస్య లేదు.","कोई बात नहीं।"
"బాగుంది.","सुनने में तो अच्छा लगता है।"
"అది మంచి ఆలోచన.","वह एक अच्छा विचार है।"
"i","मैं"
"మీరు","आप"
"అతను","वह"
"ఆమె","वह"
"మేము","हम"
"వారు","वे"
"నేను","मुझे"
"ఆయన","उसे"
"ఆమె","उसकी"
"మాకు","हम"
"వాటిని","उन्हें"
"నా","मेरा"
"మీ","आपका"
"అతని","उसका"
"మా","हमारा"
"వారి","उनका"
"స్నేహితుడు","दोस्त"
"స్నేహితులు","दोस्त"
"కుటుంబం","परिवार"
"తల్లి","माँ"
"తండ్రి","पिता"
"సోదరి","बहन"
"సోదరుడు","भाई"
"ప్రేమ","प्यार"
"బేబీ","बच्चा"
"సర్","महोदय"
"మేడమ్","महोदया"
"హోమ్","घर"
"పని","काम"
