"வணக்கம்","नमस्ते"
"ஹாய்","नमस्ते"
"ஏய்","अरे"
"குட்பை","अलविदा"
"பை","अलविदा"
"வரவேற்கிறோம்","स्वागत"
"காலை","सुबह"
"பிற்பகல்","दोपहर"
"மாலை","शाम"
"இரவு","रात"
"காலை வணக்கம்","शुभ प्रभात"
"நல்ல மதியம்","शुभ दोपहर"
"நல்ல மாலை","शुभ संध्या"
"நல்ல இரவு","शुभ रात्रि"
"பின்னர் சந்திப்போம்.","बाद में मिलते हैं।"
"கவனித்துக் கொள்ளுங்கள்.","अपना ध्यान रखना।"
"என்ன","क्या"
"எப்போது","कब"
"எங்கே","कहाँ"
"WHO","कौन"
"ஏன்","क्यों"
"எப்படி","कैसे"
"நீங்கள்?","क्या आप?"
"உங்கள் பெயர் என்ன?","आपका क्या नाम है?"
"நீங்கள் என்ன செய்கிறீர்கள்?","आप क्या कर रहे हो?"
"இது என்ன நேரம்?","ये वक़्त क्या है?"
"நீங்கள் எங்கிருந்து வருகிறீர்கள்?","आप कहाँ से हैं?"
"உங்கள் நாள் எப்படி இருந்தது?","आपका दिन कैसा रहा?"
"என்ன?","क्या चल रहा है?"
"நீங்கள் என்ன சொல்கிறீர்கள்?","आपका क्या मतलब है?"
"நீங்கள் உறுதியாக இருக்கிறீர்களா?","क्या आपको यकीन है?"
"நீங்கள் என்ன நினைக்கிறீர்கள்?","आप क्या सोचते हैं?"
"நாம் பேச முடியுமா?","क्या हम बात कर सकते हैं?"
"என்ன நடந்தது?","क्या हुआ?"
"நீங்கள் நலமாக இருக்கிறீர்களா?","तुम ठीक हो?"
"ஆம்","हाँ"
"இல்லை","नहीं"
"சரி","ठीक है"
"சரி","ठीक है"
"குளிர்","ठंडा"
"பெரிய","महान"
"நல்லது","अच्छा"
"மோசமான","खराब"
"ஒருவேளை","शायद"
"நிச்சயமாக","ज़रूर"
"ஒருபோதும்","कभी नहीं"
"எப்போதும்","हमेशा"
"நிச்சயமாக.","बिल्कुल।"
"நான் ஒப்புக்கொள்கிறேன்.","मैं सहमत हूं।"
"நான் உடன்படவில்லை.","मैं असहमत हूं।"
"எந்த பிரச்சனையும் இல்லை.","कोई बात नहीं।"
"நன்றாக இருக்கிறது.","सुनने में तो अच्छा लगता है।"
"அது ஒரு நல்ல யோசனை.","वह एक अच्छा विचार है।"
"i","मैं"
"நீங்கள்","आप"
"அவர்","वह"
"அவள்","वह"
"நாங்கள்","हम"
"அவர்கள்","वे"
"நான்","मुझे"
"அவர்","उसे"
"அவள்","उसकी"
"எங்களுக்கு","हम"
"அவர்கள்","उन्हें"
"என்","मेरा"
"உங்கள்","आपका"
"அவரது","उसका"
"எங்கள்","हमारा"
"அவர்களின்","उनका"
"நண்பர்","दोस्त"
"நண்பர்கள்","दोस्त"
"குடும்பம்","परिवार"
"அம்மா","माँ"
"தந்தை","पिता"
"சகோதரி","बहन"
"சகோதரர்","भाई"
"காதல்","प्यार"
"குழந்தை","बच्चा"
"ஐயா","महोदय"
"மேடம்","महोदया"
"வீடு","घर"
"வேலை","काम"
"பள்ளி","विद्यालय"
"கல்லூரி","कॉलेज"
"அலுவலகம்","कार्यालय"
"இங்கே","यहाँ"
"அங்கே","वहाँ"
"இடம்","जगह"
"நகரம்","शहर"
"நாடு","देश"
"உலகம்","दुनिया"
"நேரம்","समय"
"இன்று","आज"
"நாளை","कल"
"நேற்று","कल"
"இப்போது","अब"
"பின்னர்","बाद में"
"விரைவில்","जल्द ही"
"நிமிடங்கள்","मिनट"
"மணி","घंटा"
"நாள்","दिन"
"வாரம்","सप्ताह"
"மாதம்","महीना"
"ஆண்டு","वर्ष"
"செய்தி","संदेश"
"உரை","मूलपाठ"
"புகைப்படம்","तस्वीर"
"வீடியோ","वीडियो"
"பாடல்","गाना"
"படம்","चलचित्र"
"விளையாட்டு","खेल"
"உணவு","खाना"
"நீர்","पानी"
"தேநீர்","चाय"
"காபி","कॉफी"
"பெயர்","नाम"
"எண்","संख्या"
"பணம்","धन"
"உதவி","मदद"
