"हॅलो","హలో"
"हाय","హాయ్"
"अहो","హే"
"निरोप","వీడ్కోలు"
"बाय","బై"
"आपले स्वागत आहे","స్వాగతం"
"सकाळी","ఉదయం"
"दुपारी","మధ్యాహ్నం"
"संध्याकाळ","సాయంత్రం"
"रात्री","రాత్రి"
"सुप्रभात","శుభోదయం"
"शुभ दुपार","శుభ మధ్యాహ్నం"
"शुभ संध्याकाळ","శుభ సాయంత్రం"
"शुभ रात्री","గుడ్ నైట్"
"नंतर भेटू.","తరువాత కలుద్దాం."
"काळजी घ्या.","జాగ్రత్త వహించండి."
"काय","ఏమి"
"जेव्हा","ఎప్పుడు"
"कुठे","ఎక్కడ"
"WHO","WHO"
"का","ఎందుకు"
"कसे","ఎలా"
"आपण आहात?","మీరు?"
"तुझे नाव काय आहे?","మీ పేరు ఏమిటి?"
"आपण काय करीत आहात?","మీరు ఏమి చేస్తున్నారు?"
"किती वेळ आहे?","ఇది ఏ సమయం?"
"तू कोठून आहेस?","మీరు ఎక్కడ నుండి వచ్చారు?"
"तुमचा दिवस कसा होता?","మీ రోజు ఎలా ఉంది?"
"काय चालले आहे?","ఏమిటి?"
"तुम्हाला काय म्हणायचे आहे?","మీ ఉద్దేశ్యం ఏమిటి?"
"तुम्हाला खात्री आहे का?","మీకు ఖచ్చితంగా తెలుసా?"
"तुला काय वाटते?","మీరు ఏమనుకుంటున్నారు?"
"आम्ही बोलू शकतो?","మనం మాట్లాడగలమా?"
"काय झाले?","ఏమి జరిగింది?"
"आपण ठीक आहात?","మీరు బాగున్నారా?"
"होय","అవును"
"नाही","లేదు"
"ठीक आहे","సరే"
"ठीक आहे","సరే"
"मस्त","కూల్"
"छान","గొప్పది"
"चांगले","మంచిది"
"वाईट","చెడ్డది"
"कदाचित","బహుశా"
"नक्की","ఖచ్చితంగా"
"कधीही नाही","ఎప్పుడూ"
"नेहमी","ఎల్లప్పుడూ"
"नक्कीच.","కోర్సు యొక్క."
"मी सहमत आहे.","నేను అంగీకరిస్తున్నాను."
"मी सहमत नाही.","నేను అంగీకరించలేదు."
"काही हरकत नाही.","సమస్య లేదు."
"छान वाटते.","బాగుంది."
"ती चांगली कल्पना आहे.","అది మంచి ఆలోచన."
"मी","i"
"आपण","మీరు"
"तो","అతను"
"ती","ఆమె"
"आम्ही","మేము"
"ते","వారు"
"मी","నేను"
"त्याला","ఆయన"
"ती","ఆమె"
"आम्हाला","మాకు"
"त्यांना","వాటిని"
"माझे","నా"
"तुझे","మీ"
"त्याचे","అతని"
"आमची","మా"
"त्यांचे","వారి"
"मित्र","స్నేహితుడు"
"मित्र","స్నేహితులు"
"कुटुंब","కుటుంబం"
"आई","తల్లి"
"वडील","తండ్రి"
"बहीण","సోదరి"
"भाऊ","సోదరుడు"
"प्रेम","ప్రేమ"
"बाळ","బేబీ"
"सर","సర్"
"मॅडम","మేడమ్"
"मुख्यपृष्ठ","హోమ్"
"काम","పని"
"शाळा","పాఠశాల"
"कॉलेज","కళాశాల"
"कार्यालय","కార్యాలయం"
"येथे","ఇక్కడ"
"तेथे","అక్కడ"
"ठिकाण","స్థలం"
"शहर","నగరం"
"देश","దేశం"
"जग","ప్రపంచం"
"वेळ","సమయం"
"आज","ఈ రోజు"
"उद्या","రేపు"
"काल","నిన్న"
"आता","ఇప్పుడు"
"नंतर","తరువాత"
"लवकरच","త్వరలో"
"मिनिट","నిమిషం"
"तास","గంట"
"दिवस","రోజు"
"आठवडा","వారం"
"महिना","నెల"
"वर्ष","సంవత్సరం"
"संदेश","సందేశం"
"मजकूर","వచనం"
"फोटो","ఫోటో"
"व्हिडिओ","వీడియో"
"गाणे","పాట"
"चित्रपट","సినిమా"
"खेळ","ఆట"
"अन्न","ఆహారం"
"पाणी","నీరు"
"चहा","టీ"
"कॉफी","కాఫీ"
"नाव","పేరు"
"क्रमांक","సంఖ్య"
"पैसा","డబ్బు"
"मदत","సహాయం"
"समस्या","సమస్య"
"कल्पना","ఆలోచన"
"गोष्ट","విషయం"
"गोष्टी","విషయాలు"
