"ఒంటె నోరులో జీలకర్ర","ஒட்டகத்தின் வாயில் சீரகம்"
"ముక్కు మూర్చేంత ఇబ్బంది పెట్టడం","மூக்கை பிளந்துவிடும் அளவுக்கு தொந்தரவு கொடுதல்"
"మంటల నుంచి పొగలో పడటం","அக்கினியிலிருந்து ஆழ்குழியில் விழுதல்"
"ఖాళీ పాత్ర ఎక్కువ శబ్దం చేస్తుంది","காலியான பாத்திரம் அதிக சத்தம் செய்கிறது"
"ఇంట్లోని శత్రువు పెద్ద ప్రమాదం","வீட்டுக்குள்ள பகை மிகப்பெரிய அபாயம்"
"పాము చనిపోతుంది కానీ కర్ర విరగదు","பாம்பு சாவும் குச்சி உடையாது"
"పాతో కాలినవాడు మజ్జిగ కూడా ఊది తాగుతాడు","பால் சுட்டவன் மோரையும் ஊதிக் குடிப்பான்"
"కాలెత్తి పారిపోవడం","கால் தூக்கி ஓடிவிடுதல்"
"చేతులు కడుక్కోవడం (బాధ్యత తప్పించుకోవడం)","கைகளை சுத்தம் செய்யுதல் / பொறுப்பை தவிர்த்தல்"
"రోజులు లాగడం","நாட்களை நகர்த்துதல் / நாள்கள் கடத்தல்"
"గాడిద ముందు వీణ వాయించడం","கழுதைக்கு வீணை வாசித்தல்"
"కంటి రెప్ప పాడేలోపే","கண் மடிக்கையில்"
"కుక్క తోక ఎప్పటికీ వంకరగానే ఉంటుంది","நாயின் வால் எப்போதும் வளைந்தே இருக்கும்"
"కాగితం పులి","காகித புலி"
"ప్రాణం పెట్టి కష్టపడటం","உயிர் வைத்துப் கடுமையாக உழைத்தல்"
"కళ్లలోని తార","கண்ணின் முத்து"
"దీపం కింద చీకటి","விளக்கு கீழே இருள்"
"నోట్లో రామా, చేతిలో కత్తి","வாயில் ராமா, கையில் கத்தி"
"పెద్ద కష్టంలో చిన్నది కనిపించకపోవడం","பெரிய சிக்கலில் சிறியது காணப்படாமல் போவது"
"కాలు జారి పడటం","கால் வழுக்கி விழுதல்"
"పాలు మీద క్రీమ్ తినడం","பாலின் மேல் கிரீம் சாப்பிடுதல் (சிறந்த பகுதி)"
"తిన్న ప్లేట్ మీద గొడవ పెట్టడం","சாப்பிடும் தட்டில் சண்டை போடுதல்"
"నీటిలో ఉండి మొసలి భయపడటం","நீரில் இருந்தும் முதலைக்குப் பயப்படுதல்"
"పెరుగుతుంటే పెరుగుతుంది, జరుగుతుంటే జరుగుతుంది","பெருக்கமடைந்தால் அதிகமாகும், நிகழ்ந்தால் நிகழும்"
"కళ్లకు గంత కట్టుకోవడం","கண் மூடு / கண்களுக்கு பட்டை கட்டுதல்"
"జేబు ఖాళీ అవ్వడం","பை வெறியாகி போகுதல்"
"అహా అని పొగడడం","வாழ்த்துக்கள் கூறுதல் / பாராட்டுதல்"
"దొంగ కాపలాదారిని దూషించడం","திருடன் காவலரை விமர்சனம் செய்தல்"
"ఒంటెకు శనగ గింజ","ஒட்டகத்திற்கு பருப்புக் கீரை (చిన్నదిగా)"
