"வணக்கம்","hello"
"ஹாய்","hi"
"ஏய்","hey"
"குட்பை","goodbye"
"பை","bye"
"வரவேற்கிறோம்","welcome"
"காலை","morning"
"பிற்பகல்","afternoon"
"மாலை","evening"
"இரவு","night"
"காலை வணக்கம்","good morning"
"நல்ல மதியம்","good afternoon"
"நல்ல மாலை","good evening"
"நல்ல இரவு","good night"
"பின்னர் சந்திப்போம்.","see you later."
"கவனித்துக் கொள்ளுங்கள்.","take care."
"என்ன","what"
"எப்போது","when"
"எங்கே","where"
"WHO","who"
"ஏன்","why"
"எப்படி","how"
"நீங்கள்?","are you?"
"உங்கள் பெயர் என்ன?","what is your name?"
"நீங்கள் என்ன செய்கிறீர்கள்?","what are you doing?"
"இது என்ன நேரம்?","what time is it?"
"நீங்கள் எங்கிருந்து வருகிறீர்கள்?","where are you from?"
"உங்கள் நாள் எப்படி இருந்தது?","how was your day?"
"என்ன?","what's up?"
"நீங்கள் என்ன சொல்கிறீர்கள்?","what do you mean?"
"நீங்கள் உறுதியாக இருக்கிறீர்களா?","are you sure?"
"நீங்கள் என்ன நினைக்கிறீர்கள்?","what do you think?"
"நாம் பேச முடியுமா?","can we talk?"
"என்ன நடந்தது?","what happened?"
"நீங்கள் நலமாக இருக்கிறீர்களா?","are you okay?"
"ஆம்","yes"
"இல்லை","no"
"சரி","ok"
"சரி","okay"
"குளிர்","cool"
"பெரிய","great"
"நல்லது","good"
"மோசமான","bad"
"ஒருவேளை","maybe"
"நிச்சயமாக","sure"
"ஒருபோதும்","never"
"எப்போதும்","always"
"நிச்சயமாக.","of course."
"நான் ஒப்புக்கொள்கிறேன்.","i agree."
"நான் உடன்படவில்லை.","i disagree."
"எந்த பிரச்சனையும் இல்லை.","no problem."
"நன்றாக இருக்கிறது.","sounds good."
"அது ஒரு நல்ல யோசனை.","that's a good idea."
"i","i"
"நீங்கள்","you"
"அவர்","he"
"அவள்","she"
"நாங்கள்","we"
"அவர்கள்","they"
"நான்","me"
"அவர்","him"
"அவள்","her"
"எங்களுக்கு","us"
"அவர்கள்","them"
"என்","my"
"உங்கள்","your"
"அவரது","his"
"எங்கள்","our"
"அவர்களின்","their"
"நண்பர்","friend"
"நண்பர்கள்","friends"
"குடும்பம்","family"
"அம்மா","mother"
"தந்தை","father"
"சகோதரி","sister"
"சகோதரர்","brother"
"காதல்","love"
"குழந்தை","baby"
"ஐயா","sir"
"மேடம்","madam"
"வீடு","home"
"வேலை","work"
"பள்ளி","school"
"கல்லூரி","college"
"அலுவலகம்","office"
"இங்கே","here"
"அங்கே","there"
"இடம்","place"
"நகரம்","city"
"நாடு","country"
"உலகம்","world"
"நேரம்","time"
"இன்று","today"
"நாளை","tomorrow"
"நேற்று","yesterday"
"இப்போது","now"
"பின்னர்","later"
"விரைவில்","soon"
"நிமிடங்கள்","minute"
"மணி","hour"
"நாள்","day"
"வாரம்","week"
"மாதம்","month"
"ஆண்டு","year"
"செய்தி","message"
"உரை","text"
"புகைப்படம்","photo"
"வீடியோ","video"
"பாடல்","song"
"படம்","movie"
"விளையாட்டு","game"
"உணவு","food"
"நீர்","water"
"தேநீர்","tea"
"காபி","coffee"
"பெயர்","name"
"எண்","number"
"பணம்","money"
"உதவி","help"
"சிக்கல்","problem"
"யோசனை","idea"
"விஷயம்","thing"
"விஷயங்கள்","things"
"வாழ்க்கை","life"
"வேலை","job"
"கார்","car"
"பைக்","bike"
"பஸ்","bus"
"ரயில்","train"
"போ","go"
"வாருங்கள்","come"
"பார்க்க","see"
"பார்","look"
"வாட்ச்","watch"
"கேளுங்கள்","listen"
"சாப்பிடுங்கள்","eat"
"பானம்","drink"
"தூங்கு","sleep"
"காத்திருங்கள்","wait"
"பேச்சு","talk"
"பேசுங்கள்","speak"
"சொல்லுங்கள்","say"
"சொல்லுங்கள்","tell"
"கேளுங்கள்","ask"
"பதில்","answer"
"தெரியும்","know"
"சிந்தியுங்கள்","think"
"புரிந்து கொள்ளுங்கள்","understand"
"சராசரி","mean"
"விளையாடுங்கள்","play"
"போன்ற","like"
"வெறுப்பு","hate"
"வேண்டும்","want"
"தேவை","need"
"கொடுங்கள்","give"
"எடுத்துக் கொள்ளுங்கள்","take"
"அனுப்பு","send"
"பெறுங்கள்","receive"
"அழைப்பு","call"
"சந்திப்பு","meet"
"தொடக்க","start"
"நிறுத்து","stop"
"முடிக்க","finish"
"முயற்சிக்கவும்","try"
"செய்","do"
"உருவாக்கு","make"
"மகிழ்ச்சி","happy"
"சோகம்","sad"
"கோபம்","angry"
"சோர்வாக","tired"
"பசி","hungry"
"பிஸியாக","busy"
"இலவசம்","free"
"புதியது","new"
"பழைய","old"
"பெரியது","big"
"சிறிய","small"
"நீண்ட","long"
"குறுகிய","short"
"சூடாக","hot"
"குளிர்","cold"
"நல்லது","nice"
"அழகான","beautiful"
"அருமை","awesome"
"ஆச்சரியம்","amazing"
"உண்மையில்","really"
"மிகவும்","very"
"எனவே","so"
"கூட","too"
"பின்னர்","then"
"சில நேரங்களில்","sometimes"
"பெரும்பாலும்","often"
"மீண்டும்","again"
"வேகமாக","fast"
"மெதுவாக","slow"
"ஆரம்பத்தில்","early"
"தாமதமாக","late"
"மற்றும்","and"
"ஆனால்","but"
"அல்லது","or"
"ஏனெனில்","because"
"என்றால்","if"
"க்கு","for"
"இல்","in"
"ஆன்","on"
"at","at"
"to","to"
"உடன்","with"
"இருந்து","from"
"பற்றி","about"
"of","of"
"நான் நன்றாக இருக்கிறேன், நன்றி.","i am fine, thank you."
"என் பெயர் ...","my name is..."
"உங்களை சந்தித்ததில் மகிழ்ச்சி.","nice to meet you."
"மன்னிக்கவும்.","i'm sorry."
"நான் இருந்து ...","i am from..."
"நீங்கள் எனக்கு உதவ முடியுமா?","can you help me?"
"எனக்குத் தெரியாது.","i don't know."
"எனக்கு புரியவில்லை.","i don't understand."
"போகலாம்.","let's go."
"அதிகம் எதுவும் இல்லை.","nothing much."
"அது நன்றாக இருந்தது.","it was good."
"எனக்கு தாகம் இருக்கிறது.","i am thirsty."
"ரெஸ்ட் ரூம் எங்குள்ளது?","where is the restroom?"
"நான் ஓய்வெடுக்க வேண்டும்.","i need to rest."
"உங்களுடன் பின்னர் பேசுங்கள்.","talk to you later."
"என் வழியில்.","on my way."
"வலதுபுறம் இருங்கள்.","be right back."
"அது வேடிக்கையானது.","that's funny."
"அது பெரியது!","that's great!"
"கடவுளே!","oh my god!"
"வாழ்த்துக்கள்!","congratulations!"
"பிறந்தநாள் வாழ்த்துக்கள்!","happy birthday!"
"நான் உன்னை இழக்கிறேன்.","i miss you."
"நான் உன்னை நேசிக்கிறேன்.","i love you."
"என்னை அழைக்கவும்.","call me."
"எனக்கு உரை அனுப்பவும்.","text me."
"இன்றைய உங்கள் திட்டங்கள் என்ன?","what are your plans for today?"
"நாளை நீங்கள் இலவசமா?","are you free tomorrow?"
"நான் அதை எதிர்பார்க்கிறேன்.","i am looking forward to it."
"இது அவசரம்.","it's urgent."
