"नौ दो ग्यारह होना","पळ काढणे"
"ऊंट के मुँह में जीरा","उंटाच्या तोंडात जीरं"
"नाक कट जाना","अब्रू जाणे"
"नाक में दम करना","नाकी नऊ आणणे"
"तेल देखो तेल की धार देखो","थांबून बघा काय होतंय ते"
"दूध का जला छाछ भी फूँक फूँक कर पीता है","दुधाने भाजलेला ताकही फुंकून पितो"
"आसमान से गिरा खजूर में अटका","आगीतून फुफाट्यात पडणे"
"थोथा चना बाजे घना","थोतांडाचा पाटा मोठा"
"घर का भेदी लंका ढाए","घरचा वैरी संकट ओढतो"
"साँप भी मर जाए और लाठी भी न टूटे","सापही मेलं आणि काठीही तुटली नाही"
"मन में लड्डू फूटना","मनात गोड गोड स्वप्न फुटणे"
"खिसियानी बिल्ली खंभा नोचे","न मिळालेलं रागाने तोडफोड करणं"
"हाथ कंगन को आरसी क्या","साक्षात पुराव्याला वेगळं सांगायचं काय?"
"राम नाम सत्य है","सत्य हेच अंतिम"
"दाल में कुछ काला है","गडबड आहे"
"आम के आम गुठलियों के दाम","दोन्ही बाजूने फायदा"
"अंधेर नगरी चौपट राजा","अंधेर नगरी चौपट राजा (तसंच वापरतात)"
"हाथ मलते रह जाना","हात मलत बसणे"
"पलक झपकते ही","डोळा मिचकावता क्षणी"
"लोहे को लोहे से काटना","लोखंड लोखंडानेच कापता येते"
"कुत्ते की दुम टेढ़ी की टेढ़ी","कुत्र्याची शेपटी वाकडीची वाकडीच"
"सिर मुँडाते ही ओले पड़ना","सुरुवातीलाच संकट येणे"
"भैंस के आगे बीन बजाना","गाढवापुढं वीणा वाजवणे"
"एक तीर से दो शिकार","एका दगडात दोन पक्षी"
"कागज़ी शेर","कागदी वाघ"
"खून पसीना एक करना","प्राणपणाने मेहनत करणे"
"आँखों का तारा","डोळ्यातला तारा"
"चिराग तले अंधेरा","दीपाखाली अंधार"
"मुँह में राम बगल में छुरी","तोंडावर राम, पोटात खंजीर"
"ऊँट पहाड़ के नीचे","मोठ्या संकटासमोर लहान पडणे"
