hello,हॅलो
hi,हाय
hey,अहो
goodbye,निरोप
bye,बाय
welcome,आपले स्वागत आहे
morning,सकाळी
afternoon,दुपारी
evening,संध्याकाळ
night,रात्री
good morning,सुप्रभात
good afternoon,शुभ दुपार
good evening,शुभ संध्याकाळ
good night,शुभ रात्री
see you later.,नंतर भेटू.
take care.,काळजी घ्या.
what,काय
when,जेव्हा
where,कुठे
who,WHO
why,का
how,कसे
are you?,आपण आहात?
what is your name?,तुझे नाव काय आहे?
what are you doing?,आपण काय करीत आहात?
what time is it?,किती वेळ आहे?
where are you from?,तू कोठून आहेस?
how was your day?,तुमचा दिवस कसा होता?
what's up?,काय चालले आहे?
what do you mean?,तुम्हाला काय म्हणायचे आहे?
are you sure?,तुम्हाला खात्री आहे का?
what do you think?,तुला काय वाटते?
can we talk?,आम्ही बोलू शकतो?
what happened?,काय झाले?
are you okay?,आपण ठीक आहात?
yes,होय
no,नाही
ok,ठीक आहे
okay,ठीक आहे
cool,मस्त
great,छान
good,चांगले
bad,वाईट
maybe,कदाचित
sure,नक्की
never,कधीही नाही
always,नेहमी
of course.,नक्कीच.
i agree.,मी सहमत आहे.
i disagree.,मी सहमत नाही.
no problem.,काही हरकत नाही.
sounds good.,छान वाटते.
that's a good idea.,ती चांगली कल्पना आहे.
i,मी
you,आपण
he,तो
she,ती
we,आम्ही
they,ते
me,मी
him,त्याला
her,ती
us,आम्हाला
them,त्यांना
my,माझे
your,तुझे
his,त्याचे
our,आमची
their,त्यांचे
friend,मित्र
friends,मित्र
family,कुटुंब
mother,आई
father,वडील
sister,बहीण
brother,भाऊ
love,प्रेम
baby,बाळ
sir,सर
madam,मॅडम
home,मुख्यपृष्ठ
work,काम
school,शाळा
college,कॉलेज
office,कार्यालय
here,येथे
there,तेथे
place,ठिकाण
city,शहर
country,देश
world,जग
time,वेळ
today,आज
tomorrow,उद्या
yesterday,काल
now,आता
later,नंतर
soon,लवकरच
minute,मिनिट
hour,तास
day,दिवस
week,आठवडा
month,महिना
year,वर्ष
message,संदेश
text,मजकूर
photo,फोटो
video,व्हिडिओ
song,गाणे
movie,चित्रपट
game,खेळ
food,अन्न
water,पाणी
tea,चहा
coffee,कॉफी
name,नाव
number,क्रमांक
money,पैसा
help,मदत
problem,समस्या
idea,कल्पना
thing,गोष्ट
things,गोष्टी
life,जीवन
job,नोकरी
car,कार
bike,दुचाकी
bus,बस
train,ट्रेन
go,जा
come,या
see,पहा
look,पहा
watch,पहा
