"उंटाच्या तोंडात जीरं","A drop in the ocean"
"नाकी नऊ आणणे","To trouble someone a lot / Harass constantly"
"आगीतून फुफाट्यात पडणे","Out of the frying pan into the fire"
"थोतांडाचा पाटा मोठा","Empty vessels make the most noise"
"घरचा वैरी संकट ओढतो","An insider can cause the most harm"
"सापही मेलं आणि काठीही तुटली नाही","Killing two birds with one stone"
"दुधाने भाजलेला ताकही फुंकून पितो","Once bitten, twice shy"
"पळ काढणे","To run away quickly"
"हात झटकणे","To wash one’s hands of responsibility"
"दिवस ढकलणे","To just pass the days / Barely manage to survive"
"गाढवापुढं वीणा वाजवणे","Casting pearls before swine"
"डोळा मिचकावता क्षणी","In the blink of an eye"
"कुत्र्याची शेपटी वाकडीची वाकडीच","Old habits die hard"
"एका दगडात दोन पक्षी","To kill two birds with one stone"
"कागदी वाघ","Paper tiger"
"प्राणपणाने मेहनत करणे","To work very hard"
"डोळ्यातला तारा","Apple of the eye"
"दीपाखाली अंधार","Darkness under the lamp"
"तोंडावर राम, पोटात खंजीर","Hypocrisy / Double-faced nature"
"मोठ्या संकटासमोर लहान पडणे","To be humbled before a bigger force"
"पाय घसरला","To make a mistake / Slip up"
"दुधावरची साय खाणे","To take the cream / Best part"
"ताटातलं खाऊन भांडणं","Quarrelling while enjoying benefits"
"पाण्यातला पोहायला घाबरणं","Being afraid of something one knows"
"वाढता वाढे आणी घडता घडे","As it grows, it flourishes more"
"डोळ्यांवर पट्टी बसणे","To be blind to the truth"
"खिसा रिकामा होणे","To become broke"
"धन्य धन्य म्हणणे","To excessively praise someone"
"चोराच्या उलट्या बोंबा","Pot calling the kettle black"
"उंटाला शेंगाची गाठ","An impossible task for someone"
