"ஒட்டகத்தின் வாயில் சீரகம்","A drop in the ocean"
"மூக்கை பிளந்துவிடும் அளவுக்கு தொந்தரவு கொடுதல்","To trouble someone a lot"
"அக்கினியிலிருந்து ஆழ்குழியில் விழுதல்","Out of the frying pan into the fire"
"காலியான பாத்திரம் அதிக சத்தம் செய்கிறது","Empty vessels make the most noise"
"வீட்டுக்குள்ள பகை மிகப்பெரிய அபாயம்","An enemy within is the biggest danger"
"பாம்பு சாவும் குச்சி உடையாது","Killing two birds with one stone"
"பால் சுட்டவன் மோரையும் ஊதிக் குடிப்பான்","Once bitten, twice shy"
"கால் தூக்கி ஓடிவிடுதல்","To run away quickly"
"கைகளை சுத்தம் செய்யுதல் / பொறுப்பை தவிர்த்தல்","To wash one’s hands of something"
"நாட்களை நகர்த்துதல் / நாள்கள் கடத்தல்","Dragging one’s days / Just passing time"
"கழுதைக்கு வீணை வாசித்தல்","Casting pearls before swine"
"கண் மடிக்கையில்","In the blink of an eye"
"நாயின் வால் எப்போதும் வளைந்தே இருக்கும்","A dog’s tail never straightens"
"காகித புலி","Paper tiger"
"உயிர் வைத்துப் கடுமையாக உழைத்தல்","To work with all one’s might"
"கண்ணின் முத்து","Apple of one’s eye"
"விளக்கு கீழே இருள்","Darkness beneath the lamp"
"வாயில் ராமா, கையில் கத்தி","Honey on the lips, dagger in the heart"
"பெரிய சிக்கலில் சிறியது காணப்படாமல் போவது","Small things vanish before big problems"
"கால் வழுக்கி விழுதல்","To slip up / To make a mistake"
"பாலின் மேல் கிரீம் சாப்பிடுதல் (சிறந்த பகுதி)","To take the cream / Best part"
"சாப்பிடும் தட்டில் சண்டை போடுதல்","To quarrel after being helped"
"நீரில் இருந்தும் முதலைக்குப் பயப்படுதல்","Fearing the crocodile while being in water"
"பெருக்கமடைந்தால் அதிகமாகும், நிகழ்ந்தால் நிகழும்","The rich get richer, events keep unfolding"
"கண் மூடு / கண்களுக்கு பட்டை கட்டுதல்","To turn a blind eye"
"பை வெறியாகி போகுதல்","To go broke / Empty pockets"
"வாழ்த்துக்கள் கூறுதல் / பாராட்டுதல்","To shower praises"
"திருடன் காவலரை விமர்சனம் செய்தல்","The pot calling the kettle black"
"ஒட்டகத்திற்கு பருப்புக் கீரை (சின்னதாக)","Too little for a giant need"
