"ఒంటె నోరులో జీలకర్ర","A drop in the ocean"
"ముక్కు మూర్చేంత ఇబ్బంది పెట్టడం","To trouble someone a lot"
"మంటల నుంచి పొగలో పడటం","Out of the frying pan into the fire"
"ఖాళీ పాత్ర ఎక్కువ శబ్దం చేస్తుంది","Empty vessels make the most noise"
"ఇంట్లోని శత్రువు పెద్ద ప్రమాదం","An enemy within is the biggest danger"
"పాము చనిపోతుంది కానీ కర్ర విరగదు","Killing two birds with one stone"
"పాలతో కాలినవాడు మజ్జిగ కూడా ఊది తాగుతాడు","Once bitten, twice shy"
"కాలెత్తి పారిపోవడం","To run away quickly"
"చేతులు కడుక్కోవడం (బాధ్యత తప్పించుకోవడం)","To wash one’s hands of something"
"రోజులు లాగడం","Dragging one’s days / Just passing time"
"గాడిద ముందు వీణ వాయించడం","Casting pearls before swine"
"కంటి రెప్ప పాడేలోపే","In the blink of an eye"
"కుక్క తోక ఎప్పటికీ వంకరగానే ఉంటుంది","A dog’s tail never straightens"
"కాగితం పులి","Paper tiger"
"ప్రాణం పెట్టి కష్టపడటం","To work with all one’s might"
"కళ్లలోని తార","Apple of one’s eye"
"దీపం కింద చీకటి","Darkness beneath the lamp"
"నోట్లో రామా, చేతిలో కత్తి","Honey on the lips, dagger in the heart"
"పెద్ద కష్టంలో చిన్నది కనిపించకపోవడం","Small things vanish before big problems"
"కాలు జారి పడటం","To slip up / To make a mistake"
"పాలు మీద క్రీమ్ తినడం","To take the cream / Best part"
"తిన్న ప్లేట్ మీద గొడవ పెట్టడం","To quarrel after being helped"
"నీటిలో ఉండి మొసలి భయపడటం","Fearing the crocodile while being in water"
"పెరుగుతుంటే పెరుగుతుంది, జరుగుతుంటే జరుగుతుంది","The rich get richer, events keep unfolding"
"కళ్లకు గంత కట్టుకోవడం","To turn a blind eye"
"జేబు ఖాళీ అవ్వడం","To go broke / Empty pockets"
"అహా అని పొగడడం","To shower praises"
"దొంగ కాపలాదారిని దూషించడం","The pot calling the kettle black"
"ఒంటెకు శనగ గింజ","Too little for a giant need"
