"வணக்கம்","హలో"
"ஹாய்","హాయ్"
"ஏய்","హే"
"குட்பை","వీడ్కోలు"
"பை","బై"
"வரவேற்கிறோம்","స్వాగతం"
"காலை","ఉదయం"
"பிற்பகல்","మధ్యాహ్నం"
"மாலை","సాయంత్రం"
"இரவு","రాత్రి"
"காலை வணக்கம்","శుభోదయం"
"நல்ல மதியம்","శుభ మధ్యాహ్నం"
"நல்ல மாலை","శుభ సాయంత్రం"
"நல்ல இரவு","గుడ్ నైట్"
"பின்னர் சந்திப்போம்.","తరువాత కలుద్దాం."
"கவனித்துக் கொள்ளுங்கள்.","జాగ్రత్త వహించండి."
"என்ன","ఏమి"
"எப்போது","ఎప్పుడు"
"எங்கே","ఎక్కడ"
"WHO","WHO"
"ஏன்","ఎందుకు"
"எப்படி","ఎలా"
"நீங்கள்?","మీరు?"
"உங்கள் பெயர் என்ன?","మీ పేరు ఏమిటి?"
"நீங்கள் என்ன செய்கிறீர்கள்?","మీరు ఏమి చేస్తున్నారు?"
"இது என்ன நேரம்?","ఇది ఏ సమయం?"
"நீங்கள் எங்கிருந்து வருகிறீர்கள்?","మీరు ఎక్కడ నుండి వచ్చారు?"
"உங்கள் நாள் எப்படி இருந்தது?","మీ రోజు ఎలా ఉంది?"
"என்ன?","ఏమిటి?"
"நீங்கள் என்ன சொல்கிறீர்கள்?","మీ ఉద్దేశ్యం ఏమిటి?"
"நீங்கள் உறுதியாக இருக்கிறீர்களா?","మీకు ఖచ్చితంగా తెలుసా?"
"நீங்கள் என்ன நினைக்கிறீர்கள்?","మీరు ఏమనుకుంటున్నారు?"
"நாம் பேச முடியுமா?","మనం మాట్లాడగలమా?"
"என்ன நடந்தது?","ఏమి జరిగింది?"
"நீங்கள் நலமாக இருக்கிறீர்களா?","మీరు బాగున్నారా?"
"ஆம்","అవును"
"இல்லை","లేదు"
"சரி","సరే"
"சரி","సరే"
"குளிர்","కూల్"
"பெரிய","గొప్పది"
"நல்லது","మంచిది"
"மோசமான","చెడ్డది"
"ஒருவேளை","బహుశా"
"நிச்சயமாக","ఖచ్చితంగా"
"ஒருபோதும்","ఎప్పుడూ"
"எப்போதும்","ఎల్లప్పుడూ"
"நிச்சயமாக.","కోర్సు యొక్క."
"நான் ஒப்புக்கொள்கிறேன்.","నేను అంగీకరిస్తున్నాను."
"நான் உடன்படவில்லை.","నేను అంగీకరించలేదు."
"எந்த பிரச்சனையும் இல்லை.","సమస్య లేదు."
"நன்றாக இருக்கிறது.","బాగుంది."
"அது ஒரு நல்ல யோசனை.","అది మంచి ఆలోచన."
"i","i"
"நீங்கள்","మీరు"
"அவர்","అతను"
"அவள்","ఆమె"
"நாங்கள்","మేము"
"அவர்கள்","వారు"
"நான்","నేను"
"அவர்","ఆయన"
"அவள்","ఆమె"
"எங்களுக்கு","మాకు"
"அவர்கள்","వాటిని"
"என்","నా"
"உங்கள்","మీ"
"அவரது","అతని"
"எங்கள்","మా"
"அவர்களின்","వారి"
"நண்பர்","స్నేహితుడు"
