"Add fuel to the fire","आगीत तेल ओतणे"
"Ball is in your court","आता निर्णय तुझ्या हातात आहे"
"Burn the candle at both ends","दोन्ही बाजूने मेणबत्ती जाळणे (जास्त काम करून थकणे)"
"Cry over spilled milk","झाले त्याचे दुःख करून काही उपयोग नाही"
"Don’t put all your eggs in one basket","सगळी आशा एका गोष्टीवर ठेवू नकोस"
"Elephant in the room","सर्वांना माहीत असलेली पण कोणी बोलत नाही अशी गोष्ट"
"Face the music","परिणाम भोगणे"
"Go bananas","वेड्यासारखे वागणे"
"Hit the jackpot","मोठा लाभ मिळवणे"
"In the same boat","समान परिस्थितीत असणे"
"Jump on the bandwagon","सर्वांसारखेच वागणे"
"Keep something at bay","दूर ठेवणे"
"Last straw","सहनशक्ती संपवणारी शेवटची घटना"
"Make ends meet","उपजीविका चालवणे"
"Not my cup of tea","माझ्या आवडीचे/क्षमेचे नाही"
"Off the record","गुप्तपणे बोलणे"
"Pull strings","ओळख वापरणे"
"Rome wasn’t built in a day","मोठ्या गोष्टींना वेळ लागतो"
"Saved by the bell","अचानक सुटका होणे"
"Throw cold water on something","उत्साह कमी करणे"
"Walk in someone’s shoes","इतराच्या जागी स्वतःला समजणे"
"Zero tolerance","बिलकूल सहन न करणे"
"Hit below the belt","अन्यायकारक वागणे"
"Go with the flow","प्रवाहात वाहत जाणे"
"On thin ice","धोकादायक परिस्थितीत असणे"
"Think outside the box","नवीन पद्धतीने विचार करणे"
"Eat humble pie","नम्रपणे चूक मान्य करणे"
"Have bigger fish to fry","जास्त महत्त्वाची कामे असणे"
"By word of mouth","तोंडी परंपरेने पसरलेली गोष्ट"
