"ஒட்டகத்தின் வாயில் சீரகம்","उंटाच्या तोंडात जीरं"
"மூக்கை பிளந்துவிடும் அளவுக்கு தொந்தரவு கொடுதல்","नाकी नऊ आणणे"
"அக்கினியிலிருந்து ஆழ்குழியில் விழுதல்","आगीतून फुफाट्यात पडणे"
"காலியான பாத்திரம் அதிக சத்தம் செய்கிறது","थोतांडाचा पाटा मोठा"
"வீட்டுக்குள்ள பகை மிகப்பெரிய அபாயம்","घरचा वैरी संकट ओढतो"
"பாம்பு சாவும் குச்சி உடையாது","सापही मरला तरी काठी तुटली नाही"
"பால் சுட்டவன் மோரையும் ஊதிக் குடிப்பான்","दुधाने भाजलेला ताकही फुंकून पितो"
"கால் தூக்கி ஓடிவிடுதல்","पळ काढणे"
"கைகளை சுத்தம் செய்யுதல் / பொறுப்பை தவிர்த்தல்","हात झटकणे"
"நாட்களை நகர்த்துதல் / நாள்கள் கடத்தல்","दिवस ढकलणे"
"கழுதைக்கு வீணை வாசித்தல்","गाढवापुढं वीणा वाजवणे"
"கண் மடிக்கையில்","पलक झपकते ही"
"நாயின் வால் எப்போதும் வளைந்தே இருக்கும்","कुत्र्याची शेपटी वाकडीची वाकडीच"
"காகித புலி","कागदी वाघ"
"உயிர் வைத்துப் கடுமையாக உழைத்தல்","खून-पसीना एक करणे"
"கண்ணின் முத்து","डोळ्यांचा तारा"
"விளக்கு கீழே இருள்","चिराग तळे अंधार"
"வாயில் ராமா, கையில் கத்தி","मुठीत राम, पोटात खांजीर"
"பெரிய சிக்கலில் சிறியது காணப்படாமல் போவது","मोठ्या संकटासमोर लहान पडणे"
"கால் வழுக்கி விழுதல்","पाय घसरला"
"பாலின் மேல் கிரீம் சாப்பிடுதல் (சிறந்த பகுதி)","दुधावरची साय खाणे"
"சாப்பிடும் தட்டில் சண்டை போடுதல்","ताटातलं खाऊन भांडणं"
"நீரில் இருந்தும் முதலைக்குப் பயப்படுதல்","पाण्यात पोहत असतानाही भुंगे घाबरणे"
"பெருக்கமடைந்தால் அதிகமாகும், நிகழ்ந்தால் நிகழும்","वाढता वाढते आणि घडता घडे"
"கண் மூடு / கண்களுக்கு பட்டை கட்டுதல்","डोळ्यांवर पट्टी बसणे"
"பை வெறியாகி போகுதல்","खिसा रिकामा होणे"
"வாழ்த்துக்கள் கூறுதல் / பாராட்டுதல்","धन्य-धन्य म्हणणे"
"திருடன் காவலரை விமர்சனம் செய்தல்","चोराच्या उलट्या बोंबा"
"ஒட்டகத்திற்கு பருப்புக் கீரை (சின்னதாக)","उंटाला शेंगाची गाठ"
