"हॅलो","hello"
"हाय","hi"
"अहो","hey"
"निरोप","goodbye"
"बाय","bye"
"आपले स्वागत आहे","welcome"
"सकाळी","morning"
"दुपारी","afternoon"
"संध्याकाळ","evening"
"रात्री","night"
"सुप्रभात","good morning"
"शुभ दुपार","good afternoon"
"शुभ संध्याकाळ","good evening"
"शुभ रात्री","good night"
"नंतर भेटू.","see you later."
"काळजी घ्या.","take care."
"काय","what"
"जेव्हा","when"
"कुठे","where"
"WHO","who"
"का","why"
"कसे","how"
"आपण आहात?","are you?"
"तुझे नाव काय आहे?","what is your name?"
"आपण काय करीत आहात?","what are you doing?"
"किती वेळ आहे?","what time is it?"
"तू कोठून आहेस?","where are you from?"
"तुमचा दिवस कसा होता?","how was your day?"
"काय चालले आहे?","what's up?"
"तुम्हाला काय म्हणायचे आहे?","what do you mean?"
"तुम्हाला खात्री आहे का?","are you sure?"
"तुला काय वाटते?","what do you think?"
"आम्ही बोलू शकतो?","can we talk?"
"काय झाले?","what happened?"
"आपण ठीक आहात?","are you okay?"
"होय","yes"
"नाही","no"
"ठीक आहे","ok"
"ठीक आहे","okay"
"मस्त","cool"
"छान","great"
"चांगले","good"
"वाईट","bad"
"कदाचित","maybe"
"नक्की","sure"
"कधीही नाही","never"
"नेहमी","always"
"नक्कीच.","of course."
"मी सहमत आहे.","i agree."
"मी सहमत नाही.","i disagree."
"काही हरकत नाही.","no problem."
"छान वाटते.","sounds good."
"ती चांगली कल्पना आहे.","that's a good idea."
"मी","i"
"आपण","you"
"तो","he"
"ती","she"
"आम्ही","we"
"ते","they"
"मी","me"
"त्याला","him"
"ती","her"
"आम्हाला","us"
"त्यांना","them"
"माझे","my"
"तुझे","your"
"त्याचे","his"
"आमची","our"
"त्यांचे","their"
"मित्र","friend"
"मित्र","friends"
"कुटुंब","family"
"आई","mother"
"वडील","father"
"बहीण","sister"
"भाऊ","brother"
"प्रेम","love"
"बाळ","baby"
"सर","sir"
"मॅडम","madam"
"मुख्यपृष्ठ","home"
"काम","work"
"शाळा","school"
"कॉलेज","college"
"कार्यालय","office"
"येथे","here"
"तेथे","there"
"ठिकाण","place"
"शहर","city"
"देश","country"
"जग","world"
"वेळ","time"
"आज","today"
"उद्या","tomorrow"
"काल","yesterday"
"आता","now"
"नंतर","later"
"लवकरच","soon"
"मिनिट","minute"
"तास","hour"
"दिवस","day"
