"ஒட்டகத்தின் வாயில் சீரகம்","ऊँट के मुँह में जीरा"
"மூக்கை பிளந்துவிடும் அளவுக்கு தொந்தரவு கொடுதல்","नाक में दम करना"
"அக்கினியிலிருந்து ஆழ்குழியில் விழுதல்","आग से कूदकर खाई में गिरना"
"காலியான பாத்திரம் அதிக சத்தம் செய்கிறது","खाली बर्तन ज्यादा बजते हैं"
"வீட்டுக்குள்ள பகை மிகப்பெரிய அபாயம்","घर का दुश्मन सबसे बड़ा खतरा"
"பாம்பு சாவும் குச்சி உடையாது","साँप भी मर जाए और लाठी भी न टूटे"
"பால் சுட்டவன் மோரையும் ஊதிக் குடிப்பான்","दूध का जला छाछ भी फूँक-फूँक कर पीता है"
"கால் தூக்கி ஓடிவிடுதல்","नौ दो ग्यारह होना"
"கைகளை சுத்தம் செய்யுதல் / பொறுப்பை தவிர்த்தல்","हाथ झाड़ लेना / पल्ला झाड़ लेना"
"நாட்களை நகர்த்துதல் / நாள்கள் கடத்தல்","दिन ढकेलना"
"கழுதைக்கு வீணை வாசித்தல்","भैंस के आगे बीन बजाना"
"கண் மடிக்கையில்","आँख झपकते ही"
"நாயின் வால் எப்போதும் வளைந்தே இருக்கும்","कुत्ते की दुम कभी सीधी नहीं होती"
"காகித புலி","कागज़ का शेर"
"உயிர் வைத்துப் கடுமையாக உழைத்தல்","खून-पसीना एक करना"
"கண்ணின் முத்து","आँखों का तारा"
"விளக்கு கீழே இருள்","दीये तले अँधेरा"
"வாயில் ராமா, கையில் கத்தி","मुँह में राम, बगल में छुरी"
"பெரிய சிக்கலில் சிறியது காணப்படாமல் போவது","बड़े संकट में छोटी चीज़ नज़र नहीं आती"
"கால் வழுக்கி விழுதல்","पाँव फिसलना"
"பாலின் மேல் கிரீம் சாப்பிடுதல் (சிறந்த பகுதி)","दूध की मलाई खाना (सबसे अच्छा हिस्सा लेना)"
"சாப்பிடும் தட்டில் சண்டை போடுதல்","जिस थाली में खाया उसी में छेद करना"
"நீரில் இருந்தும் முதலைக்குப் பயப்படுதல்","नदी में रहकर मगरमच्छ से बैर"
"பெருக்கமடைந்தால் அதிகமாகும், நிகழ்ந்தால் நிகழும்","बढ़ता है तो और बढ़ता है"
"கண் மூடு / கண்களுக்கு பட்டை கட்டுதல்","आँखों पर पट्टी बाँध लेना"
"பை வெறியாகி போகுதல்","जेब खाली हो जाना"
"வாழ்த்துக்கள் கூறுதல் / பாராட்டுதல்","वाह-वाह करना / प्रशंसा करना"
"திருடன் காவலரை விமர்சனம் செய்தல்","चोर मचाए शोर"
"ஒட்டகத்திற்கு பருப்புக் கீரை (சின்னதாக)","ऊँट को जीरे का दाना"
