हॅलो,வணக்கம்
हाय,ஹாய்
अहो,ஏய்
निरोप,குட்பை
बाय,பை
आपले स्वागत आहे,வரவேற்கிறோம்
सकाळी,காலை
दुपारी,பிற்பகல்
संध्याकाळ,மாலை
रात्री,இரவு
सुप्रभात,காலை வணக்கம்
शुभ दुपार,நல்ல மதியம்
शुभ संध्याकाळ,நல்ல மாலை
शुभ रात्री,நல்ல இரவு
नंतर भेटू.,பின்னர் சந்திப்போம்.
काळजी घ्या.,கவனித்துக் கொள்ளுங்கள்.
काय,என்ன
जेव्हा,எப்போது
कुठे,எங்கே
WHO,WHO
का,ஏன்
कसे,எப்படி
आपण आहात?,நீங்கள்?
तुझे नाव काय आहे?,உங்கள் பெயர் என்ன?
आपण काय करीत आहात?,நீங்கள் என்ன செய்கிறீர்கள்?
किती वेळ आहे?,இது என்ன நேரம்?
तू कोठून आहेस?,நீங்கள் எங்கிருந்து வருகிறீர்கள்?
तुमचा दिवस कसा होता?,உங்கள் நாள் எப்படி இருந்தது?
काय चालले आहे?,என்ன?
तुम्हाला काय म्हणायचे आहे?,நீங்கள் என்ன சொல்கிறீர்கள்?
तुम्हाला खात्री आहे का?,நீங்கள் உறுதியாக இருக்கிறீர்களா?
तुला काय वाटते?,நீங்கள் என்ன நினைக்கிறீர்கள்?
आम्ही बोलू शकतो?,நாம் பேச முடியுமா?
काय झाले?,என்ன நடந்தது?
आपण ठीक आहात?,நீங்கள் நலமாக இருக்கிறீர்களா?
होय,ஆம்
नाही,இல்லை
ठीक आहे,சரி
ठीक आहे,சரி
मस्त,குளிர்
छान,பெரிய
चांगले,நல்லது
वाईट,மோசமான
कदाचित,ஒருவேளை
नक्की,நிச்சயமாக
कधीही नाही,ஒருபோதும்
नेहमी,எப்போதும்
नक्कीच.,நிச்சயமாக.
मी सहमत आहे.,நான் ஒப்புக்கொள்கிறேன்.
मी सहमत नाही.,நான் உடன்படவில்லை.
काही हरकत नाही.,எந்த பிரச்சனையும் இல்லை.
छान वाटते.,நன்றாக இருக்கிறது.
ती चांगली कल्पना आहे.,அது ஒரு நல்ல யோசனை.
मी,i
आपण,நீங்கள்
तो,அவர்
ती,அவள்
आम्ही,நாங்கள்
ते,அவர்கள்
मी,நான்
त्याला,அவர்
ती,அவள்
आम्हाला,எங்களுக்கு
त्यांना,அவர்கள்
माझे,என்
तुझे,உங்கள்
त्याचे,அவரது
आमची,எங்கள்
त्यांचे,அவர்களின்
मित्र,நண்பர்
मित्र,நண்பர்கள்
कुटुंब,குடும்பம்
आई,அம்மா
वडील,தந்தை
बहीण,சகோதரி
भाऊ,சகோதரர்
प्रेम,காதல்
बाळ,குழந்தை
सर,ஐயா
मॅडम,மேடம்
मुख्यपृष्ठ,வீடு
काम,வேலை
शाळा,பள்ளி
कॉलेज,கல்லூரி
कार्यालय,அலுவலகம்
येथे,இங்கே
तेथे,அங்கே
ठिकाण,இடம்
शहर,நகரம்
देश,நாடு
जग,உலகம்
वेळ,நேரம்
आज,இன்று
उद्या,நாளை
काल,நேற்று
आता,இப்போது
नंतर,பின்னர்
लवकरच,விரைவில்
मिनिट,நிமிடங்கள்
तास,மணி
दिवस,நாள்
आठवडा,வாரம்
महिना,மாதம்
वर्ष,ஆண்டு
संदेश,செய்தி
मजकूर,உரை
फोटो,புகைப்படம்
व्हिडिओ,வீடியோ
गाणे,பாடல்
चित्रपट,படம்
खेळ,விளையாட்டு
अन्न,உணவு
पाणी,நீர்
चहा,தேநீர்
कॉफी,காபி
नाव,பெயர்
क्रमांक,எண்
पैसा,பணம்
मदत,உதவி
समस्या,சிக்கல்
कल्पना,யோசனை
गोष्ट,விஷயம்
गोष्टी,விஷயங்கள்
जीवन,வாழ்க்கை
नोकरी,வேலை
कार,கார்
दुचाकी,பைக்
बस,பஸ்
ट्रेन,ரயில்
जा,போ
या,வாருங்கள்
पहा,பார்க்க
पहा,பார்
पहा,வாட்ச்
ऐका,கேளுங்கள்
खा,சாப்பிடுங்கள்
प्या,பானம்
झोप,தூங்கு
प्रतीक्षा करा,காத்திருங்கள்
चर्चा,பேச்சு
बोला,பேசுங்கள்
म्हणा,சொல்லுங்கள்
सांगा,சொல்லுங்கள்
विचारा,கேளுங்கள்
उत्तर,பதில்
माहित आहे,தெரியும்
विचार करा,சிந்தியுங்கள்
समजून घ्या,புரிந்து கொள்ளுங்கள்
म्हणजे,சராசரி
खेळा,விளையாடுங்கள்
आवडले,போன்ற
द्वेष,வெறுப்பு
हवे आहे,வேண்டும்
गरज,தேவை
द्या,கொடுங்கள்
घ्या,எடுத்துக் கொள்ளுங்கள்
पाठवा,அனுப்பு
प्राप्त,பெறுங்கள்
कॉल,அழைப்பு
भेटा,சந்திப்பு
प्रारंभ करा,தொடக்க
थांबवा,நிறுத்து
समाप्त,முடிக்க
प्रयत्न करा,முயற்சிக்கவும்
करा,செய்
बनवा,உருவாக்கு
आनंदी,மகிழ்ச்சி
दु: खी,சோகம்
राग,கோபம்
थकलेले,சோர்வாக
भुकेले,பசி
व्यस्त,பிஸியாக
मुक्त,இலவசம்
नवीन,புதியது
जुने,பழைய
मोठे,பெரியது
लहान,சிறிய
लांब,நீண்ட
लहान,குறுகிய
गरम,சூடாக
थंड,குளிர்
छान,நல்லது
सुंदर,அழகான
छान,அருமை
आश्चर्यकारक,ஆச்சரியம்
खरोखर,உண்மையில்
खूप,மிகவும்
तर,எனவே
खूप,கூட
मग,பின்னர்
कधीकधी,சில நேரங்களில்
अनेकदा,பெரும்பாலும்
पुन्हा,மீண்டும்
वेगवान,வேகமாக
हळू,மெதுவாக
लवकर,ஆரம்பத்தில்
उशीरा,தாமதமாக
आणि,மற்றும்
पण,ஆனால்
किंवा,அல்லது
कारण,ஏனெனில்
जर,என்றால்
साठी,க்கு
मध्ये,இல்
चालू,ஆன்
