"नौ दो ग्यारह होना","To run away quickly / Disappear"
"ऊंट के मुँह में जीरा","A drop in the ocean"
"नाक कट जाना","To be disgraced"
"नाक में दम करना","To irritate someone constantly"
"तेल देखो तेल की धार देखो","Wait and watch"
"दूध का जला छाछ भी फूँक फूँक कर पीता है","Once bitten, twice shy"
"आसमान से गिरा खजूर में अटका","Out of the frying pan into the fire"
"थोथा चना बाजे घना","Empty vessels make the most noise"
"घर का भेदी लंका ढाए","An insider can cause the most harm"
"साँप भी मर जाए और लाठी भी न टूटे","Killing two birds with one stone"
"मन में लड्डू फूटना","To be very happy / Excited"
"खिसियानी बिल्ली खंभा नोचे","A guilty person shows anger"
"हाथ कंगन को आरसी क्या","Obvious proof needs no explanation"
"राम नाम सत्य है","Reminder of mortality / Life is temporary"
"दाल में कुछ काला है","Something is fishy"
"आम के आम गुठलियों के दाम","Double benefit"
"अंधेर नगरी चौपट राजा","A place of total misrule"
"हाथ मलते रह जाना","Left helpless / Regretful"
"पलक झपकते ही","In the blink of an eye"
"लोहे को लोहे से काटना","Fight fire with fire"
"कुत्ते की दुम टेढ़ी की टेढ़ी","Old habits die hard"
"सिर मुँडाते ही ओले पड़ना","Trouble at the very start"
"भैंस के आगे बीन बजाना","Casting pearls before swine"
"एक तीर से दो शिकार","To achieve two goals with one action"
"कागज़ी शेर","Paper tiger"
"खून पसीना एक करना","To work very hard"
"आँखों का तारा","Apple of the eye"
"चिराग तले अंधेरा","Darkness under the lamp (overlooking obvious things)"
"मुँह में राम बगल में छुरी","Hypocrisy / Double-faced nature"
"ऊँट पहाड़ के नीचे","Facing someone more powerful"
