"ஒட்டகத்தின் வாயில் சீரகம்","ఒంటె నోరులో జీలకర్ర"
"மூக்கை பிளந்துவிடும் அளவுக்கு தொந்தரவு கொடுதல்","ముక్కు మూర్చేంత ఇబ్బంది పెట్టడం"
"அக்கினியிலிருந்து ஆழ்குழியில் விழுதல்","మంటల నుంచి పొగలో పడటం"
"காலியான பாத்திரம் அதிக சத்தம் செய்கிறது","ఖాళీ పాత్ర ఎక్కువ శబ్దం చేస్తుంది"
"வீட்டுக்குள்ள பகை மிகப்பெரிய அபாயம்","ఇంట్లోని శత్రువు పెద్ద ప్రమాదం"
"பாம்பு சావும் குச்சி உடையாது","పాము చనిపోతుంది కానీ కర్ర విరగదు"
"பால் சுட్టவன் మோரையும் ஊதிக் குடிப்பான்","పాలతో కాలినవాడు మజ్జిగ కూడా ఊది తాగుతాడు"
"கால் தூக்கி ஓடివிடுதல்","పళ్లు ఎత్తి పరిగెత్తిపోవడం"
"கைகளை சுத்தம் செய்யுதல் / பொறுப்பை தவிர்த்தல்","చేతులు కడుక్కోవడం (బాధ్యత తప్పించుకోవడం)"
"நாட்களை நகர்த்துதல் / நாள்கள் கடத்தல்","రోజులు లాగడం"
"கழுதைக்கு வீணை வாசித்தல்","గాడిద ముందు వీణ వాయించడం"
"கண் மடிக்கையில்","కంటి రెప్ప పాడేలోపే"
"நாயின் வால் எప్పோதும் வளைந்தே இருக்கும்","కుక్క తోక ఎప్పటికీ వంకరగా ఉంటుంది"
"காகித புலி","కాగితం పులి"
"உயிர் வைத்துப் கடுமையாக உழைத்தல்","ప్రాణం పెట్టి కష్టపడటం"
"கண்ணின் முத்து","కళ్లలోని తార"
"விளக்கு கீழே இருள்","దీపం కింద చీకటి"
"வாயில் ராமா, கையில் கத்தి","నోట్లో రామా, చేతిలో కత్తి"
"பெரிய சிக்கலில் சிறியது காணப்படாமல் போவது","పెద్ద కష్టంలో చిన్నది కనిపించకపోవడం"
"கால் வழுக்கி விழுதல்","కాలు జారి పడటం"
"பாலின் மேல் கிரீம் சாப்பிடுதல் (சிறந்த பகுதி)","పాలు మీద క్రీమ్ తినడం"
"சாப்பிடும் தட்டில் சண்டை போடுதல்","తిన్న ప్లేట్ మీద గొడవ పెట్టడం"
"நீரில் இருந்தும் முதலைக்குப் பயப்படுதல்","పానిలో ఉండి మొసలి భయపడటం"
"பெருக்கமடைந்தால் அதிகமாகும், நிகழ்ந்தால் நிகழும்","పెరుగుతుంటే పెరుగుతుంది, జరుగుతుంటే జరుగుతుంది"
"கண் மூடு / கண்களுக்கு பட்டை கட்டுதல்","కళ్లకు గంత కట్టుకోవడం"
"பை வெறியாகி போగுதல்","జేబు ఖాళీ అవ్వడం"
"வாழ்த்துக்கள் கூறுதல் / பாராட்டுதல்","అహా అని పొగడడం"
"திருடன் காவலரை விமர்சனம் செய்தல்","దొంగ కాపలాదారిని దూషించడం"
"ஒட்டகத்திற்கு பருப்புக் கீரை (சின்னதாக)","ఒంటెకు శనగ గింజ"
